Round,ClientID,ClientAccuracy,ClientTrainingTime,exp,K,Z,sigma_ed,sigma_iid,timestamp
5,client13,0.7144749823819592,16205.104226246476,exp1,5,15,1000.0,10,09-05-26-141047
5,client1,0.7390269473803519,12967.058023437858,exp1,5,15,1000.0,10,09-05-26-141047
5,client9,0.7264185651620206,15566.677373833954,exp1,5,15,1000.0,10,09-05-26-141047
6,client5,0.7883191044269803,14464.392540976403,exp1,5,15,1000.0,10,09-05-26-141047
6,client17,0.8034610281455552,13213.100004941223,exp1,5,15,1000.0,10,09-05-26-141047
6,client13,0.7797322057787174,16065.712174400687,exp1,5,15,1000.0,10,09-05-26-141047
6,client1,0.7886146609617183,14007.86472670734,exp1,5,15,1000.0,10,09-05-26-141047
6,client9,0.7465119569831612,14258.02418589592,exp1,5,15,1000.0,10,09-05-26-141047
7,client5,0.692344659919715,13880.225461907685,exp1,5,15,1000.0,10,09-05-26-141047
7,client17,0.8074414928154025,14121.93677574396,exp1,5,15,1000.0,10,09-05-26-141047
7,client13,0.7876250880902044,16874.51051734388,exp1,5,15,1000.0,10,09-05-26-141047
7,client1,0.8007140630755717,15170.85342016071,exp1,5,15,1000.0,10,09-05-26-141047
7,client9,0.7404556388849582,14367.160893045366,exp1,5,15,1000.0,10,09-05-26-141047
8,client5,0.7334200260078023,12723.462646827102,exp1,5,15,1000.0,10,09-05-26-141047
8,client17,0.7909832594641899,15097.601889632642,exp1,5,15,1000.0,10,09-05-26-141047
8,client13,0.7526145172656801,16453.596364706755,exp1,5,15,1000.0,10,09-05-26-141047
8,client1,0.7766286021931937,15991.103926673532,exp1,5,15,1000.0,10,09-05-26-141047
8,client9,0.6735248337342579,14241.577020846307,exp1,5,15,1000.0,10,09-05-26-141047
9,client17,0.7391807582644044,13104.765658266842,exp1,5,15,1000.0,10,09-05-26-141047
9,client5,0.7199355458811556,14583.988159894943,exp1,5,15,1000.0,10,09-05-26-141047
9,client13,0.6638477801268499,16746.423312462866,exp1,5,15,1000.0,10,09-05-26-141047
9,client1,0.7159615766059335,13163.303725421429,exp1,5,15,1000.0,10,09-05-26-141047
9,client9,0.737993490873072,14870.213992893696,exp1,5,15,1000.0,10,09-05-26-141047
10,client5,0.6491490925538531,14048.416467383504,exp1,5,15,1000.0,10,09-05-26-141047
10,client17,0.739660672444457,12969.667352735996,exp1,5,15,1000.0,10,09-05-26-141047
10,client13,0.5554334038054969,16182.935738004744,exp1,5,15,1000.0,10,09-05-26-141047
10,client1,0.702360375166473,12625.875000841916,exp1,5,15,1000.0,10,09-05-26-141047
10,client9,0.7985283713032404,13521.42878063023,exp1,5,15,1000.0,10,09-05-26-141047
11,client5,0.7698874879855261,13387.071629054844,exp1,5,15,1000.0,10,09-05-26-141047
11,client17,0.7366400361347147,14900.456975214183,exp1,5,15,1000.0,10,09-05-26-141047
