exp,K,Z,sigma_ed,sigma_iid,total_mean,total_std,total_min,total_max,total_cv,round_dur_mean,round_dur_std,round_dur_min,round_dur_max,agg_time_mean,agg_time_std,train_time_mean,train_time_std,train_time_min,train_time_max,acc_final_mean,acc_mean,acc_max,acc_std,n_rounds
exp1,5,15,1000.0,10,67592.41848,1231.6705004283926,64516.380000000005,70454.52000000003,0.01822202146521556,174.957226292,1.3978996798312107,170.737529252,177.73422788,508.86062612136203,40.269831107177254,16523.668896953266,398.3828824883911,15700.73068793863,17724.689251743257,0.7838813767670558,0.7225215119852489,0.8077366318377381,0.10384332828189488,24
exp1,5,30,1000.0,10,63738.30432,1663.7390770433826,59305.839,67066.35300000002,0.02610265671158323,168.03665447066666,1.1883614189187568,164.973161792,170.473882802,505.33922508358955,38.98978076383659,8198.936657222608,232.31226653313786,7697.277429513633,9065.460691228507,0.7579261421839787,0.6675911698422454,0.7737015980331899,0.1210041972432212,24
exp1,5,60,1000.0,10,61695.42336000001,1685.8873967346701,58267.032,65618.721,0.02732597176450707,164.392461205,0.8857936470489556,162.570331541,166.792018568,510.85573354115087,44.1105372096224,4125.856050600608,146.47594945180379,3898.424061946571,4585.685799829662,0.6772690022536366,0.5836309157959435,0.7311770129071912,0.13755881066110057,24
exp1,5,90,1000.0,10,60535.74715999999,1712.9985088628819,57558.126,64027.49700000005,0.02829730513336712,162.76815170012,0.9846640211018393,160.498842475,164.797783091,513.2881233717004,36.4021359187305,2743.044116732975,96.1975589795022,2614.0607558190823,3112.895928323269,0.6989602540463021,0.5523786109403811,0.7135448678549478,0.14829238314156082,24
exp1,5,120,1000.0,10,60467.30704,1601.4817957669804,57204.993,63703.362,0.026485085481110924,162.33193206466666,1.0714865058112983,159.138567164,164.806706535,521.8042760094007,48.41013908334432,2088.5252304002643,100.81935263337937,1959.3174057081344,2538.229154422879,0.6781653349723418,0.5073150993648843,0.6920328826060234,0.14682498365898078,24
exp1,5,150,1000.0,10,59961.45647999999,1631.3911200511318,56812.56900000001,63987.492,0.02720732977183899,161.30216427151998,1.2355504091586,158.730855411,163.629462522,499.4809090470274,46.03191830127722,1704.1264778748155,87.59740447846906,1565.7601403072476,2029.1951214894648,0.663119750051219,0.487179368981766,0.6829287031346035,0.1377751506920251,24
exp1,5,190,1000.0,10,60034.6222,1717.6280512162393,56575.37699999998,64328.79,0.02861062480736723,161.06434435952,1.2158716405153869,158.817824464,163.89410365,507.9981035615007,34.522623182606885,1361.6967799638708,67.49605425095265,1273.9335242658854,1644.4958969950676,0.6000563409137473,0.43267465683261624,0.6280731407498463,0.1305460767508834,24
exp1,5,230,1000.0,10,60078.11336,1600.019972056362,57090.072,63649.416,0.026632327191580134,161.28918118701333,1.256772682370102,157.748021878,164.847139366,508.51655180255574,44.03941925257056,1131.346432355543,46.67084489422878,1063.2410263642669,1266.1920124664905,0.4338762548658061,0.43153452161442324,0.6446681007990166,0.1398196378445814,24
exp1,5,260,1000.0,10,59949.471320000004,1823.026642540218,56642.358,63972.93600000001,0.030409386478309614,161.07867148888,1.2539715996095826,158.533199192,163.515935925,511.6835875188311,46.67623117144824,1000.7539596284429,47.918823343197815,897.985378280282,1190.4061557725072,0.396179061667691,0.42841682032370415,0.5892363245236631,0.13247223218353327,24
exp1,5,300,1000.0,10,59724.013999999996,1684.059656241181,57269.784,65409.38399999999,0.02819736222419982,160.95982795093332,1.149507293007173,158.384575353,163.518209668,501.2129682302475,37.301318446438216,896.9737031559149,53.58787071392401,823.6170625314116,1106.154098175466,0.4999231714812538,0.4268157139930342,0.583358942839582,0.13657309410723867,24
