,namespace,pod_name,container_name,joules
0,client7,client7-544486cc98-qtff5,linkerd-init,0.0
1,client9,client9-d68fb99b4-cvmt7,linkerd-init,0.0
2,client14,client14-856b5b5576-kmsbx,linkerd-init,0.0
3,client14,client14-856b5b5576-kmsbx,linkerd-proxy,1676.6052692307692
4,client3,client3-58c68898cd-lsvq2,linkerd-proxy,1935.8390153846153
5,client3,client3-58c68898cd-lsvq2,client3,1936.3600307692304
6,client3,client3-58c68898cd-lsvq2,sidecar,1932.1950846153843
7,client3,client3-58c68898cd-lsvq2,linkerd-init,0.0
8,client16,client16-6dc7f87f54-btx7z,linkerd-init,0.0
9,client16,client16-6dc7f87f54-btx7z,linkerd-proxy,1600.7053999999998
10,client11,client11-565c48c7c7-5bn69,linkerd-init,0.0
11,orchestrator,policy-enforcer-cb8dccbd8-sxpsl,linkerd-init,0.0
12,orchestrator,policy-enforcer-cb8dccbd8-sxpsl,linkerd-proxy,880.2269
13,api-gateway,api-gateway-6bf76d45b7-fc2pz,linkerd-init,0.0
14,orchestrator,orchestrator-555f7b7c9d-mmhtp,linkerd-proxy,881.3324692307693
15,orchestrator,orchestrator-555f7b7c9d-mmhtp,linkerd-init,0.0
16,client15,client15-79c969ddf-6sk2x,client15,1696.7977923076924
17,client15,client15-79c969ddf-6sk2x,sidecar,1683.7342846153847
18,client15,client15-79c969ddf-6sk2x,linkerd-proxy,1688.0771384615384
19,client15,client15-79c969ddf-6sk2x,linkerd-init,0.0
20,client12,client12-79bc8d5846-hlgqn,linkerd-proxy,1774.244823076923
21,client12,client12-79bc8d5846-hlgqn,client12,1774.6324076923077
22,client12,client12-79bc8d5846-hlgqn,linkerd-init,0.0
23,client12,client12-79bc8d5846-hlgqn,sidecar,1695.9336692307693
24,client5,client5-7d5ff7f8b4-gfqr2,linkerd-proxy,2015.9927846153848
25,client5,client5-7d5ff7f8b4-gfqr2,sidecar,1813.7848076923078
26,client5,client5-7d5ff7f8b4-gfqr2,client5,2016.8664384615383
27,client5,client5-7d5ff7f8b4-gfqr2,linkerd-init,0.0
28,server,server-656f98b57f-9zd2c,linkerd-proxy,1548.7214076923076
29,server,server-656f98b57f-9zd2c,server,1561.9437615384616
30,server,server-656f98b57f-9zd2c,sidecar,1544.737546153846
31,server,server-656f98b57f-9zd2c,linkerd-init,0.0
32,client18,client18-69db77c748-xr5hr,sidecar,1745.272608333333
33,client18,client18-69db77c748-xr5hr,linkerd-init,0.0
34,client18,client18-69db77c748-xr5hr,client18,1931.7730833333333
35,client18,client18-69db77c748-xr5hr,linkerd-proxy,1931.3910583333331
36,client4,client4-744474fb99-v9mkw,linkerd-proxy,1682.6377166666666
37,client4,client4-744474fb99-v9mkw,client4,1689.0323333333333
38,client4,client4-744474fb99-v9mkw,sidecar,1678.2668
39,client4,client4-744474fb99-v9mkw,linkerd-init,0.0
40,client6,client6-785d875985-7h2ll,client6,1706.7569166666665
41,client6,client6-785d875985-7h2ll,linkerd-init,0.0
42,client6,client6-785d875985-7h2ll,sidecar,1697.6846833333334
43,client6,client6-785d875985-7h2ll,linkerd-proxy,1700.906083333333
44,client13,client13-7bf86f4f87-tdb4x,sidecar,1668.7169692307693
45,client13,client13-7bf86f4f87-tdb4x,linkerd-init,0.0
46,client13,client13-7bf86f4f87-tdb4x,client13,1919.207823076923
47,client13,client13-7bf86f4f87-tdb4x,linkerd-proxy,1918.4739538461538
48,client19,client19-56fccdb4d9-n5qv6,linkerd-init,0.0
49,client19,client19-56fccdb4d9-n5qv6,client19,1639.8419153846153
50,client19,client19-56fccdb4d9-n5qv6,sidecar,1630.479523076923
51,client19,client19-56fccdb4d9-n5qv6,linkerd-proxy,1634.3394846153844
52,client1,client1-7b9db886dd-2bgvn,client1,1912.5140461538463
53,client1,client1-7b9db886dd-2bgvn,linkerd-init,0.0
54,client1,client1-7b9db886dd-2bgvn,sidecar,1908.1711923076923
55,client1,client1-7b9db886dd-2bgvn,linkerd-proxy,1911.993030769231
56,client17,client17-69b85b5ccf-hc2pr,sidecar,1795.2411076923079
57,client17,client17-69b85b5ccf-hc2pr,linkerd-proxy,1799.5045384615387
58,client17,client17-69b85b5ccf-hc2pr,linkerd-init,0.0
59,client17,client17-69b85b5ccf-hc2pr,client17,1805.9600461538462
60,client10,client10-694b6b97b4-4xkh7,linkerd-proxy,1861.452927285175
61,client10,client10-694b6b97b4-4xkh7,linkerd-init,0.0
62,client10,client10-694b6b97b4-4xkh7,client10,1861.9771155606495
63,client10,client10-694b6b97b4-4xkh7,sidecar,1597.4971269451773
64,client8,client8-5845965f99-kv5lb,linkerd-init,0.0
65,client8,client8-5845965f99-kv5lb,sidecar,1618.1594153846156
66,client8,client8-5845965f99-kv5lb,client8,1627.8267923076921
67,client8,client8-5845965f99-kv5lb,linkerd-proxy,1621.323630769231
68,client2,client2-86cd6d8cf7-ssmcq,sidecar,2132.1315615384615
69,client2,client2-86cd6d8cf7-ssmcq,client2,2136.6968
70,client2,client2-86cd6d8cf7-ssmcq,linkerd-init,0.0
71,client2,client2-86cd6d8cf7-ssmcq,linkerd-proxy,2136.0963615384617
72,client20,client20-65f8864f77-ghjbx,client20,1918.1626153846153
73,client20,client20-65f8864f77-ghjbx,linkerd-init,0.0
74,client20,client20-65f8864f77-ghjbx,sidecar,1674.6641692307692
75,client20,client20-65f8864f77-ghjbx,linkerd-proxy,1917.524053846154
76,client7,client7-544486cc98-qtff5,client7,1629.5073846153846
77,client7,client7-544486cc98-qtff5,sidecar,1620.5198692307692
78,client7,client7-544486cc98-qtff5,linkerd-proxy,1623.8111615384616
79,client9,client9-d68fb99b4-cvmt7,linkerd-proxy,2071.474569230769
80,client9,client9-d68fb99b4-cvmt7,sidecar,1918.3627615384617
81,client9,client9-d68fb99b4-cvmt7,client9,2071.998761538461
82,client14,client14-856b5b5576-kmsbx,client14,1682.9305230769228
83,client14,client14-856b5b5576-kmsbx,sidecar,1672.7580153846152
84,client16,client16-6dc7f87f54-btx7z,sidecar,1596.826376923077
85,client16,client16-6dc7f87f54-btx7z,client16,1607.3515230769233
86,client11,client11-565c48c7c7-5bn69,sidecar,1683.0258307692307
87,client11,client11-565c48c7c7-5bn69,client11,1700.0096615384616
88,client11,client11-565c48c7c7-5bn69,linkerd-proxy,1689.1890615384616
89,orchestrator,policy-enforcer-cb8dccbd8-sxpsl,sidecar,876.0841923076922
90,api-gateway,api-gateway-6bf76d45b7-fc2pz,linkerd-proxy,893.9385
91,api-gateway,api-gateway-6bf76d45b7-fc2pz,api-gateway,948.5180384615385
92,orchestrator,orchestrator-555f7b7c9d-mmhtp,sidecar,883.3212230769232
93,orchestrator,policy-enforcer-cb8dccbd8-sxpsl,policy-enforcer,822.4609076923078
94,api-gateway,api-gateway-6bf76d45b7-fc2pz,sidecar,877.0563307692307
95,orchestrator,orchestrator-555f7b7c9d-mmhtp,orchestrator,713.3907846153846
96,client16,maurits-dijk-4af5aa18client161-m4gjz,hfl-train-model,1598.5609769230769
97,client16,maurits-dijk-4af5aa18client161-m4gjz,hfl-train,1670.537346153846
98,client16,maurits-dijk-4af5aa18client161-m4gjz,sidecar,1595.7335153846152
99,client15,maurits-dijk-4af5aa18client151-2hfwf,sidecar,1681.8789615384615
100,client15,maurits-dijk-4af5aa18client151-2hfwf,hfl-train-model,1684.3124846153846
101,client15,maurits-dijk-4af5aa18client151-2hfwf,hfl-train,1800.68
102,server,maurits-dijk-4af5aa18server1-9s5n9,hfl-train,1540.9125307692307
103,server,maurits-dijk-4af5aa18server1-9s5n9,sidecar,1332.9829153846154
104,server,maurits-dijk-4af5aa18server1-9s5n9,hfl-train-model,1565.9466846153846
105,client4,maurits-dijk-4af5aa18client41-llwrn,hfl-train,1755.2913
106,client4,maurits-dijk-4af5aa18client41-llwrn,hfl-train-model,1680.1080916666665
107,client4,maurits-dijk-4af5aa18client41-llwrn,sidecar,1676.63545
108,client6,maurits-dijk-4af5aa18client61-gszjw,hfl-train,1781.1037999999996
109,client6,maurits-dijk-4af5aa18client61-gszjw,hfl-train-model,1698.9443333333331
110,client6,maurits-dijk-4af5aa18client61-gszjw,sidecar,1696.4422416666664
111,client19,maurits-dijk-4af5aa18client191-mm2hb,hfl-train,1709.1846153846152
112,client19,maurits-dijk-4af5aa18client191-mm2hb,sidecar,1629.0117846153848
113,client19,maurits-dijk-4af5aa18client191-mm2hb,hfl-train-model,1632.0203307692307
114,client17,maurits-dijk-4af5aa18client171-ct4ct,sidecar,1793.7193615384617
115,client17,maurits-dijk-4af5aa18client171-ct4ct,hfl-train,1870.4960615384616
116,client17,maurits-dijk-4af5aa18client171-ct4ct,hfl-train-model,1796.3276153846155
117,client8,maurits-dijk-4af5aa18client81-k4jww,hfl-train,1679.8234923076923
118,client8,maurits-dijk-4af5aa18client81-k4jww,sidecar,1617.136446153846
119,client8,maurits-dijk-4af5aa18client81-k4jww,hfl-train-model,1620.0909846153845
120,client7,maurits-dijk-4af5aa18client71-fm6vz,hfl-train-model,1622.1972846153847
121,client7,maurits-dijk-4af5aa18client71-fm6vz,hfl-train,1677.193
122,client7,maurits-dijk-4af5aa18client71-fm6vz,sidecar,1619.4778384615388
123,client14,maurits-dijk-4af5aa18client141-vmh6z,hfl-train,1764.2947
124,client14,maurits-dijk-4af5aa18client141-vmh6z,hfl-train-model,1673.7778076923078
125,client14,maurits-dijk-4af5aa18client141-vmh6z,sidecar,1671.6905692307691
126,client11,maurits-dijk-4af5aa18client111-l6629,hfl-train-model,1683.7406384615385
127,client11,maurits-dijk-4af5aa18client111-l6629,hfl-train,1793.6589999999999
128,client11,maurits-dijk-4af5aa18client111-l6629,sidecar,1680.7130307692307
