Round,ClientID,ClientAccuracy,ClientTrainingTime
0,client5,0.24164810690423164,2352.1607303991914
0,client17,0.2405830020821503,2123.519037850201
0,client13,0.22923777019340158,2563.3521992713213
0,client1,0.1765921472853654,2331.212740391493
0,client9,0.22672811059907835,2525.4894671961665
1,client5,0.29992576095025986,1942.6177395507693
1,client17,0.3166761309861821,2213.962218724191
1,client13,0.2963594994311718,2649.859322234988
1,client1,0.31711440916776257,1985.9523745253682
1,client9,0.30193548387096775,2374.3076473474503
2,client5,0.3910541945063103,2049.8617263510823
2,client17,0.4147264811660042,2012.0225697755814
2,client13,0.43079256731133864,2583.5125725716352
2,client1,0.4593274469284238,2202.976302243769
2,client9,0.4224884792626728,2324.298939667642
3,client5,0.3776911655530809,2132.3447404429317
3,client17,0.5235661555934128,2211.8901228532195
3,client13,0.47023132347364427,2422.128510661423
3,client1,0.4715386060492204,2250.1494074240327
3,client9,0.48921658986175115,2251.9297236576676
4,client5,0.428173719376392,1970.938427373767
4,client17,0.542305508233958,2466.9083561748266
4,client13,0.5396283655669322,2543.7829084694386
4,client1,0.5804997182040202,2552.543554455042
4,client9,0.5421198156682028,2234.6452521160245
5,client5,0.38028953229398665,1988.566336221993
5,client17,0.5572591330683324,2204.403394833207
5,client13,0.5168752370117558,2471.903062425554
5,client1,0.572609430772121,2035.0109720602632
5,client9,0.5952073732718894,2307.70471226424
6,client5,0.2522271714922049,2242.821231484413
6,client17,0.6286201022146508,2019.506591372192
6,client13,0.5828593098217671,2614.7570768371224
6,client1,0.5874506857035506,2044.3156473338604
6,client9,0.640184331797235,2109.096405096352
7,client5,0.22494432071269488,1954.5826548710465
7,client17,0.5812985046375165,2010.3985285386443
7,client13,0.6109215017064846,2424.193254671991
7,client1,0.6032312605673492,1986.2453285604715
8,client5,0.25352635486265773,2366.3286585360765
8,client17,0.29528676888131744,2036.454332061112
8,client13,0.31323473644292754,2417.274442501366
8,client1,0.42926920909261695,2298.123983666301
9,client5,0.3602449888641425,2260.6316842138767
9,client17,0.24626159379140639,2341.336626559496
9,client13,0.2334091770951839,2462.5912941992283
9,client1,0.31617508923539356,2041.3453308865428
10,client5,0.4365256124721604,1957.6014801859856
10,client17,0.32462615937914063,2388.734514825046
10,client13,0.2664012135001896,2406.430607661605
10,client1,0.28686830734548185,2370.18661480397
11,client5,0.5705270972531552,2180.26306014508
11,client17,0.49630891538898353,2270.294929854572
11,client13,0.4499431171786121,2410.564821213484
11,client1,0.40597407476986663,2688.715140335262
12,client5,0.5786933927245731,2218.720369040966
12,client17,0.6034450123036154,2032.2337681427598
12,client13,0.5731892301858172,2414.258625358343
12,client1,0.5868870937441293,1949.8248575255275
13,client5,0.5935412026726058,2231.3405675813556
13,client17,0.6337308347529813,2376.726725138724
13,client13,0.6230565036025787,2480.845520272851
13,client1,0.6490700732669548,2072.359500452876
14,client5,0.625463994060876,2028.4594343975186
14,client17,0.6852167329169033,2050.421920605004
14,client13,0.6920743268866135,2448.453147895634
14,client1,0.6973511177907196,2309.0387023985386
15,client5,0.6564587973273942,2224.2362732067704
15,client17,0.7162597009275034,1994.5320645347238
15,client13,0.6723549488054608,2763.5477297008038
15,client1,0.7238399398835244,2107.663443312049
16,client5,0.7338530066815144,1963.2024662569165
16,client17,0.7378383494226766,2114.4733633846045
16,client13,0.7074326886613576,2496.2381226941943
16,client1,0.6898365583317678,1970.6556564196944
17,client5,0.7453600593912398,1969.7958678007126
17,client17,0.7406776452773045,2151.734760031104
17,client13,0.7053469852104665,2442.167731001973
17,client1,0.7358632350178471,2158.0641763284802
18,client5,0.7474016332590943,1999.3883445858955
18,client17,0.7773992049971608,2064.116457477212
18,client13,0.7167235494880546,2527.341816574335
18,client1,0.7245913958294194,2398.7781209871173
19,client5,0.7357089829250185,2037.206589244306
19,client17,0.769070603823585,1949.5234061032534
19,client13,0.7472506636329161,2585.4572765529156
19,client1,0.7523952658275409,2293.5758270323277
20,client5,0.7201187824795843,2017.7910532802343
20,client17,0.7641491576755631,1992.9099455475807
20,client13,0.7155858930602957,2411.8948401883245
20,client1,0.7300394514371595,2271.6655088588595
21,client5,0.7106533036377134,1967.618778347969
21,client17,0.7722884724588303,2009.699486196041
21,client13,0.7182404247250663,2482.5237868353724
21,client1,0.7736238962990795,2226.497550494969
22,client5,0.7624350408314774,2216.707102023065
22,client17,0.7512776831345827,2065.9171594306827
22,client13,0.7444065225635191,2524.1581173613667
22,client1,0.7467593462333271,2234.660070389509
23,client5,0.7249443207126949,2096.045207232237
23,client17,0.7709634677266705,2268.575162626803
23,client13,0.7402351156617368,2785.7761131599545
23,client1,0.7465714822468533,2009.8626436665654
24,client5,0.7008166295471417,2006.8938313052058
24,client17,0.7730456180200643,2227.8780471533537
24,client13,0.7726583238528631,2456.020758487284
24,client1,0.7352996430584257,2044.7040731087327
