,GlobalAccuracy,AggregationTime,TotalTrainingTime,RoundDuration
0,0.50948,18.93861504504457,2007.250260154251,6751572778
1,0.55356,18.80028296727687,1958.7482529459521,6736267985
2,0.57916,13.336688978597522,1931.7535708541982,7664560893
3,0.57091,16.613375977613032,1985.0762992282398,6627878375
4,0.5854,16.17362501565367,1964.8499119793996,6677565915
5,0.58852,11.989024002104998,1991.715346928686,6642166116
6,0.58902,15.583891014102846,2016.8990229722112,6698548370
7,0.58486,13.867459958419204,1967.6243529538624,7887618865
8,0.56105,15.25915804086253,1947.2624380141497,6683227957
9,0.57691,15.26737300446257,1979.7120968578383,6636823858
10,0.56582,14.785573992412537,1967.8445579484105,6640764718
11,0.5872,14.101252018008381,1986.7469979217276,6744690124
12,0.59586,15.371601039078087,2021.4876979589462,7907730002
13,0.57154,12.559912982396781,2009.1628399095498,6720489826
14,0.5958,15.933862014207989,2005.4341909126379,6700816765
15,0.56597,15.921137004625052,2006.954954995308,6687910604
16,0.59787,16.045051044784486,1976.0437781224027,6691130062
17,0.5967,10.383013053797185,1928.8574600941502,8088855276
18,0.59924,15.3170459670946,2007.6174201094545,6719654233
19,0.58399,12.357769999653101,1975.5252140457742,6634775449
20,0.59694,15.03602700540796,2032.995857996866,6656014930
21,0.59908,17.474911001045257,1962.3638279736042,6681781356
22,0.58941,13.595475989859551,1950.2374900039285,7752993620
23,0.57594,18.67573900381103,1959.2399931279942,6650669187
24,0.59109,13.872169016394764,1984.0693870210089,6649514100
25,0.59304,16.364804992917925,1928.5324331722222,6764875103
26,0.60009,15.215535007882863,1968.03577512037,6630287932
27,0.59712,14.854504028335214,1903.9705001632683,8039671359
28,0.59612,14.087926014326513,2014.6873171324842,6748643929
29,0.58708,15.508687996771187,1969.9496339308098,6699997688
30,0.59893,20.66506299888715,2028.7145599722862,6668603859
31,0.59812,17.84947799751535,1968.3369220001623,6713814840
32,0.59311,13.289809983689338,1968.1351180770434,7736324373
33,0.58317,16.217647003941238,1949.868320953101,6722372836
34,0.59909,10.962856002151966,1975.8913340629078,6678044817
35,0.59407,14.14361095521599,1935.8967810403556,6717634940
36,0.59053,15.878717007581145,1960.822888824623,6733767982
37,0.60065,11.141914001200348,1946.5630789054558,8169214232
38,0.59726,10.333339043427259,1953.7940999143757,6643905514
39,0.59951,8.496719994582236,1959.469374967739,6658756448
