Round,ClientID,ClientAccuracy,ClientTrainingTime
0,client5,0.28364688856729375,1298.2885339297354
0,client17,0.32412204951065055,1322.5163060706109
0,client13,0.314509122502172,1676.6233630478382
0,client1,0.3728567276954374,1340.2673710370436
0,client9,0.37752075919335704,1768.3569299988449
1,client5,0.3994211287988423,1262.0922139612958
1,client17,0.43753598157743234,1354.8706650035456
1,client13,0.5056472632493484,1607.0086470572278
1,client1,0.3975588491717524,1536.4550710655749
1,client9,0.35587188612099646,1498.7906040623784
2,client5,0.46888567293777134,1279.55973893404
2,client17,0.5080598733448475,1488.5841100476682
2,client13,0.5823921227917752,1589.3014670582488
2,client1,0.5559430398140076,1444.2293689353392
2,client9,0.5427046263345195,1270.1032960321754
3,client5,0.620260492040521,1301.030440023169
3,client17,0.5207253886010362,1309.296683059074
3,client13,0.6727483347813495,1648.2343149837106
3,client1,0.5809357744841616,1505.0031919963658
3,client9,0.5578291814946619,1454.5097470982
4,client5,0.6645441389290883,1292.9951469413936
4,client17,0.6744386873920553,1442.9002919932827
4,client13,0.6750651607298002,1552.859921939671
4,client1,0.6739319965126417,1341.4519960060716
4,client9,0.6245551601423488,1471.6322510503232
5,client5,0.705643994211288,1413.4172240737826
5,client17,0.6859527921704087,1392.7212259732187
5,client13,0.7402258905299739,1750.0548559473827
5,client1,0.6750944492879977,1323.0830390239134
5,client9,0.7078884934756821,1644.079289981164
6,client5,0.7751085383502171,1256.4157249871641
6,client17,0.7144502014968336,1361.0375539865345
6,client13,0.7636837532580365,1639.4635579781607
6,client1,0.6158093577448416,1327.408523997292
6,client9,0.7040332147093713,1480.772876064293
7,client5,0.7096960926193921,1344.4643820403144
7,client17,0.6810592976396085,1312.7985129831359
7,client13,0.8137851143932812,1681.8983959965408
7,client1,0.6012786980528916,1435.4921949561685
7,client9,0.6930604982206405,1609.9765569670126
8,client5,0.732561505065123,1429.7140799462795
8,client17,0.7521588946459413,1318.3464161120355
8,client13,0.8019113814074718,1596.8891670927405
8,client1,0.6684103458297007,1561.1731699900702
8,client9,0.7209371293001187,1509.020512108691
9,client5,0.7736613603473227,1410.7580179115757
9,client17,0.7253886010362695,1333.3816269878298
9,client13,0.7651317694758182,1614.0681749675423
9,client1,0.6780005812263877,1313.2144820410758
9,client9,0.7007710557532622,1648.053765995428
10,client5,0.6958031837916063,1312.2628959827125
10,client17,0.7207829591249281,1324.1009219782427
10,client13,0.7790327251665219,1699.0316619630903
10,client1,0.4065678581807614,1556.0841360129416
10,client9,0.6589561091340451,1490.2284030104056
11,client5,0.6361794500723589,1264.7047609789297
11,client17,0.6525618883131836,1343.3536679949611
11,client13,0.7827975673327541,1658.8908360572532
11,client1,0.4071490845684394,1328.599491971545
11,client9,0.5465599051008304,1572.403911035508
12,client5,0.6344428364688857,1250.7711299695075
12,client17,0.5446171560161197,1339.1225959639996
12,client13,0.7326962061975094,1635.336410952732
12,client1,0.3365300784655623,1664.3696759128943
12,client9,0.5050415183867141,1494.9654879746959
13,client5,0.5568740955137482,1258.7423810036853
13,client17,0.4680483592400691,1558.9141519740224
13,client13,0.5571966406023747,1581.8532820558175
13,client1,0.4853240337111305,1612.4409490730613
13,client9,0.5688018979833926,1438.7923979666084
14,client5,0.456150506512301,1326.7799490131438
14,client17,0.3946459412780656,1348.802189109847
14,client13,0.32609325224442515,1822.984101017937
14,client1,0.4978204010462075,1503.0550140654668
14,client9,0.575326215895611,1515.1642420096323
15,client5,0.5840810419681621,1251.6254209913313
15,client17,0.5515256188831318,1395.3250660561025
15,client13,0.6437880104257168,1601.1300809914246
15,client1,0.6300494042429526,1474.8615690041333
15,client9,0.49110320284697506,1523.9264860283583
16,client5,0.6324167872648335,1274.9424920184538
16,client17,0.6229130685089235,1351.7676260089502
16,client13,0.6093252244425138,1679.0988990105689
16,client1,0.6939843068875327,1388.6442739749327
16,client9,0.5759193357058126,1491.4230309659615
17,client5,0.6839363241678726,1402.7813989669085
17,client17,0.7109959700633276,1351.9153690431267
17,client13,0.7295105705183899,1654.8572570318356
17,client1,0.7399011915140947,1514.433247037232
17,client9,0.6195136417556346,1468.4212169377133
18,client5,0.7945007235890015,1335.893344017677
18,client17,0.8065630397236615,1307.554887025617
18,client13,0.8059658268172604,1641.7817410547286
18,client1,0.7631502470212148,1385.1847640471533
18,client9,0.8063463819691578,1586.1824620515108
19,client5,0.7698986975397974,1526.953949010931
19,client17,0.7999424294761083,1372.7698510047048
19,client13,0.8305821025195482,1567.1182319056243
19,client1,0.7971519907003778,1437.3095820192248
19,client9,0.8078291814946619,1464.3236380070448
20,client5,0.7901591895803184,1440.3782119043171
20,client17,0.833909038572251,1355.514082009904
20,client13,0.8543295684911671,1582.4754610657692
20,client1,0.8372566114501598,1369.7831480531022
20,client9,0.8603202846975089,1480.93310801778
21,client5,0.8257597684515195,1231.1953699681908
21,client17,0.8485895221646517,1307.4097880162299
21,client13,0.8473790906458152,1618.052545003593
21,client1,0.8259226968904388,1493.4443410020322
21,client9,0.8454922894424673,1507.8864010283723
22,client5,0.8332850940665701,1279.391613905318
22,client17,0.8704663212435233,1614.6534709259868
22,client13,0.8682305241818709,1568.0031820666045
22,client1,0.8721301947108399,1327.440936001949
22,client9,0.8102016607354685,1309.8404250340536
23,client5,0.8570188133140376,1517.4183079507202
23,client17,0.819804260218768,1562.1549630304798
23,client13,0.8702577468867652,1981.405232916586
23,client1,0.8538215634989829,1349.0084209479392
23,client9,0.8374851720047449,1589.923317078501
24,client5,0.8630969609261939,1372.7013519965112
24,client17,0.7783534830166955,1341.3995919981971
24,client13,0.8702577468867652,1608.0602509900928
24,client1,0.8605056669572798,1333.5109159816056
24,client9,0.8647686832740213,1462.980228010565
