Unnamed: 0,GlobalAccuracy,AggregationTime,TotalTrainingTime,RoundDuration,K,timestamp
0,0.160379532882606,713.9369030483067,13142.261296277866,156029714856,5,05-03-26-182241
1,0.2664413030116779,501.79606792517006,12418.030151398852,154903107219,5,05-03-26-182241
2,0.4445682237246466,553.844285197556,12173.762196209282,155583414089,5,05-03-26-182241
3,0.536839274738783,521.0597389377654,12812.070812098682,154811465817,5,05-03-26-182241
4,0.5717962507682852,526.1563579551876,12237.297574291006,156754789197,5,05-03-26-182241
5,0.5971112476951445,528.7616760469973,12362.65535093844,153850275647,5,05-03-26-182241
6,0.5934618930547019,519.2156969569623,12517.214588122442,155796461670,5,05-03-26-182241
7,0.586240012292563,540.1253281161189,12845.160595374182,153975778085,5,05-03-26-182241
8,0.4389981561155501,488.8106030412018,12431.746290065348,154640634799,5,05-03-26-182241
9,0.2608712354025814,532.9856860917062,12317.43536121212,154576821034,5,05-03-26-182241
10,0.2940227412415488,507.8884761314839,12523.883991874754,154264637411,5,05-03-26-182241
11,0.432160417947142,552.4569728877395,12976.934169884771,156025082859,5,05-03-26-182241
12,0.5648816840811309,555.9166111052036,12317.01392866671,154812933864,5,05-03-26-182241
13,0.607521511985249,537.2488680295646,12336.987023241818,155576327861,5,05-03-26-182241
14,0.6231177012907191,491.5351280942559,12251.255551120266,155168238166,5,05-03-26-182241
15,0.6220805162876459,513.7678210157901,11952.938444213942,153397280646,5,05-03-26-182241
16,0.6439382298709281,522.0208920072764,12297.401102958249,155487636500,5,05-03-26-182241
17,0.6516979102642901,506.8084769882262,12241.168093169108,153648200223,5,05-03-26-182241
18,0.6678703134603565,525.0460128299892,12550.522305071354,154747377374,5,05-03-26-182241
19,0.6592271051014137,563.053852878511,12522.756935330108,153958593153,5,05-03-26-182241
20,0.6801628764597418,512.8422800917178,12313.975680852309,155385441849,5,05-03-26-182241
21,0.692801167793485,528.9029418490827,12345.733383204788,156564758587,5,05-03-26-182241
22,0.6883066994468346,525.0846431590617,12949.328107060865,154144632387,5,05-03-26-182241
23,0.6999846342962508,489.9846659973264,12462.16075331904,154787278289,5,05-03-26-182241
24,0.701060233558697,507.7078239992261,12577.685148920864,154062980149,5,05-03-26-182241
0,0.2007529194837123,659.3540927860886,10097.829658072442,155167426359,5,05-03-26-193309
1,0.2597572218807621,519.8713128920645,9888.118151808158,155459206489,5,05-03-26-193309
2,0.3375845113706208,546.0051158443093,9456.777372397482,156303959457,5,05-03-26-193309
3,0.4484864781807007,498.6456457991153,9501.792709110305,154032780236,5,05-03-26-193309
4,0.4711508912108174,498.1132100801915,9529.898756183684,153251242307,5,05-03-26-193309
5,0.5141748617086662,454.6273839659989,9322.27659248747,155383768491,5,05-03-26-193309
6,0.5431776275353412,488.5136499069631,9375.05346070975,155238872767,5,05-03-26-193309
7,0.4386524277811924,522.1331419888884,9355.482912622392,154063684060,5,05-03-26-193309
8,0.3600184388444991,489.45283610373735,9361.836599186065,154392759561,5,05-03-26-193309
9,0.3751536570374923,561.6333961952478,9300.435912096871,154100152238,5,05-03-26-193309
10,0.3889827904118008,526.8552089110017,9370.03570003435,154649708271,5,05-03-26-193309
11,0.4279732636754763,508.0080339685082,9870.109115261585,154922594121,5,05-03-26-193309
12,0.4688076213890596,493.9657310023904,9585.161373252047,153299123460,5,05-03-26-193309
13,0.5220881991395205,527.7176280505955,9419.556652894244,155493909022,5,05-03-26-193309
14,0.5676090964966195,525.2633690834045,9490.491052856669,153792786768,5,05-03-26-193309
15,0.6087507682851875,507.641748059541,9321.639716159552,155167530320,5,05-03-26-193309
16,0.5864704978488015,562.8232250455767,9870.065779192371,154898100848,5,05-03-26-193309
17,0.6349877074370006,571.9206659123302,9461.631843354551,154104801896,5,05-03-26-193309
18,0.6170098340503996,497.1139209810645,9190.45745418407,153892106961,5,05-03-26-193309
19,0.6486631837738168,501.5460851136595,9307.234840234742,154572496439,5,05-03-26-193309
20,0.6566917639827904,514.1056100837886,9150.873326929286,154596002190,5,05-03-26-193309
21,0.6835049170251998,526.4671940822154,9663.512458093464,156327240223,5,05-03-26-193309
22,0.6785110633066994,500.4532570019365,9464.52474105172,154892585748,5,05-03-26-193309
23,0.6888829133374309,539.4314918667078,9507.47078889981,157370148376,5,05-03-26-193309
24,0.6754763368162262,529.6751158311963,9122.705322690308,153214913225,5,05-03-26-193309
0,0.1999462200368776,1286.5531940478832,20142.421781551093,161271103196,10,03-03-26-205051
1,0.2019821757836508,1061.5561970043927,19508.5144918412,165050409554,10,03-03-26-205051
2,0.2949446834665027,1110.620304942131,18545.756499050185,179893941756,10,03-03-26-205051
3,0.41279963122311,985.2558181155472,17162.93830727227,180883525805,10,03-03-26-205051
4,0.5153272894898586,962.7777631394564,16289.367197314275,175658904103,10,03-03-26-205051
5,0.5234326982175783,874.7721270192415,16687.372646061704,138796715152,10,03-03-26-205051
6,0.5713736939151813,905.38041992113,14993.68306575343,136622430290,10,03-03-26-205051
7,0.5769053472649047,934.3604070600122,15089.766483055428,138270136047,10,03-03-26-205051
8,0.4550553165334972,845.025978051126,15216.081661172211,137102321736,10,03-03-26-205051
9,0.4178318992009834,941.518026869744,14914.639392634854,137583427308,10,03-03-26-205051
10,0.432659803318992,873.4672158025205,15414.037710055709,136596758845,10,03-03-26-205051
11,0.3938229870928088,802.6361579541117,14998.5754059162,137032939718,10,03-03-26-205051
12,0.3550629993853718,890.3835159726441,15116.149887442589,137346620244,10,03-03-26-205051
13,0.3239858635525507,856.2073288485408,15086.12772100605,136319592207,10,03-03-26-205051
14,0.3996619545175169,878.982363967225,14894.108227221295,135481252708,10,03-03-26-205051
15,0.4511754763368162,882.4322859290987,15113.545352127405,136802182683,10,03-03-26-205051
16,0.6036416717885679,958.1962269730866,15515.323870582506,136536227580,10,03-03-26-205051
17,0.5820528580208973,965.7852351665496,15155.532618286088,136488930689,10,03-03-26-205051
18,0.6208512599877074,893.7432419043034,15292.044969275594,137594812424,10,03-03-26-205051
19,0.6311846957590658,859.6556819975376,14738.787019392475,136164304981,10,03-03-26-205051
20,0.6376382913337431,886.2427661661059,15019.313372205945,136194003363,10,03-03-26-205051
21,0.6412492317148125,933.0157130025328,14739.988046232613,138085717419,10,03-03-26-205051
22,0.656960663798402,883.2767740823328,14745.200825156644,135717797542,10,03-03-26-205051
23,0.6615319606637984,841.3463740143925,15213.342788629234,136043846206,10,03-03-26-205051
24,0.6770513214505224,866.9166748877615,14903.079638956116,137576566645,10,03-03-26-205051
0,0.1840043023970498,1201.1877060867846,25783.397478982806,161826922880,10,03-03-26-193721
1,0.2408958205285802,1133.1600041594356,24429.02176035568,163375652201,10,03-03-26-193721
2,0.3749615857406269,1105.0097411498427,25525.519811548293,161886518122,10,03-03-26-193721
3,0.4469114935464044,1050.7244190666825,25198.541482212026,161557878591,10,03-03-26-193721
