,round,namespace,pod_name,container_name,joules
0,0,client19,client19-56fccdb4d9-xrq8m,linkerd-init,0.0
1,0,client1,client1-7b9db886dd-r2p8z,linkerd-init,0.0
2,0,client13,client13-7bf86f4f87-mr9k9,client13,688.2239999999999
3,0,client13,client13-7bf86f4f87-mr9k9,linkerd-init,0.0
4,0,client13,client13-7bf86f4f87-mr9k9,sidecar,571.4010000000001
5,0,client13,client13-7bf86f4f87-mr9k9,linkerd-proxy,682.29
6,0,client20,client20-65f8864f77-lzlqk,linkerd-init,0.0
7,0,client20,client20-65f8864f77-lzlqk,sidecar,682.6080000000002
8,0,client20,client20-65f8864f77-lzlqk,linkerd-proxy,683.703
9,0,client20,client20-65f8864f77-lzlqk,client20,683.9340000000001
10,0,server,server-656f98b57f-7fsp7,linkerd-proxy,580.614
11,0,server,server-656f98b57f-7fsp7,linkerd-init,0.0
12,0,client8,client8-5845965f99-t89sb,sidecar,806.2470000000001
13,0,client8,client8-5845965f99-t89sb,client8,898.944
14,0,client8,client8-5845965f99-t89sb,linkerd-proxy,898.3530000000001
15,0,client8,client8-5845965f99-t89sb,linkerd-init,0.0
16,0,client14,client14-856b5b5576-jt6fg,linkerd-proxy,799.176
17,0,client14,client14-856b5b5576-jt6fg,sidecar,797.61
18,0,client14,client14-856b5b5576-jt6fg,client14,799.4939999999999
19,0,client14,client14-856b5b5576-jt6fg,linkerd-init,0.0
20,0,client10,client10-694b6b97b4-6gglb,client10,791.1480000000001
21,0,client10,client10-694b6b97b4-6gglb,linkerd-proxy,790.848
22,0,client10,client10-694b6b97b4-6gglb,sidecar,690.345
23,0,client10,client10-694b6b97b4-6gglb,linkerd-init,0.0
24,0,orchestrator,orchestrator-555f7b7c9d-h7ldg,linkerd-proxy,403.89300000000003
25,0,orchestrator,policy-enforcer-cb8dccbd8-2jtxj,linkerd-proxy,403.98900000000003
26,0,orchestrator,policy-enforcer-cb8dccbd8-2jtxj,linkerd-init,0.0
27,0,orchestrator,orchestrator-555f7b7c9d-h7ldg,linkerd-init,0.0
28,0,api-gateway,api-gateway-6bf76d45b7-7vkc7,linkerd-proxy,423.162
29,0,api-gateway,api-gateway-6bf76d45b7-7vkc7,linkerd-init,0.0
30,0,client6,client6-785d875985-4q2t7,sidecar,748.3529999999998
31,0,client6,client6-785d875985-4q2t7,client6,845.697
32,0,client6,client6-785d875985-4q2t7,linkerd-init,0.0
33,0,client6,client6-785d875985-4q2t7,linkerd-proxy,845.139
34,0,client4,client4-744474fb99-k2cwl,client4,665.5349999999999
35,0,client4,client4-744474fb99-k2cwl,linkerd-init,0.0
36,0,client4,client4-744474fb99-k2cwl,linkerd-proxy,665.517
37,0,client4,client4-744474fb99-k2cwl,sidecar,663.573
38,0,client17,client17-69b85b5ccf-kbcx6,client17,662.0430000000001
39,0,client17,client17-69b85b5ccf-kbcx6,linkerd-init,0.0
40,0,client17,client17-69b85b5ccf-kbcx6,linkerd-proxy,657.054
41,0,client17,client17-69b85b5ccf-kbcx6,sidecar,528.8430000000001
42,0,client15,client15-79c969ddf-sxw9b,client15,676.3379999999999
43,0,client15,client15-79c969ddf-sxw9b,sidecar,654.549
44,0,client15,client15-79c969ddf-sxw9b,linkerd-init,0.0
45,0,client15,client15-79c969ddf-sxw9b,linkerd-proxy,676.0379999999998
46,0,client9,client9-d68fb99b4-t5v62,sidecar,602.649
47,0,client9,client9-d68fb99b4-t5v62,linkerd-proxy,714.9870000000002
48,0,client9,client9-d68fb99b4-t5v62,linkerd-init,0.0
49,0,client9,client9-d68fb99b4-t5v62,client9,718.5629999999999
50,0,client5,client5-7d5ff7f8b4-bjqkk,sidecar,419.922
51,0,client5,client5-7d5ff7f8b4-bjqkk,client5,623.991
52,0,client5,client5-7d5ff7f8b4-bjqkk,linkerd-proxy,618.9479999999999
53,0,client5,client5-7d5ff7f8b4-bjqkk,linkerd-init,0.0
54,0,client12,client12-79bc8d5846-t726h,client12,665.2379999999999
55,0,client12,client12-79bc8d5846-t726h,sidecar,611.9159999999999
56,0,client12,client12-79bc8d5846-t726h,linkerd-proxy,665.0729999999999
57,0,client12,client12-79bc8d5846-t726h,linkerd-init,0.0
58,0,client16,client16-6dc7f87f54-t8n99,sidecar,665.841
59,0,client16,client16-6dc7f87f54-t8n99,linkerd-proxy,667.017
60,0,client16,client16-6dc7f87f54-t8n99,client16,667.203
61,0,client16,client16-6dc7f87f54-t8n99,linkerd-init,0.0
62,0,client2,client2-86cd6d8cf7-42t64,client2,686.325
63,0,client2,client2-86cd6d8cf7-42t64,sidecar,684.846
64,0,client2,client2-86cd6d8cf7-42t64,linkerd-proxy,686.085
65,0,client2,client2-86cd6d8cf7-42t64,linkerd-init,0.0
66,0,client3,client3-58c68898cd-w2z2m,sidecar,726.4290000000001
67,0,client3,client3-58c68898cd-w2z2m,linkerd-proxy,728.3609999999999
68,0,client3,client3-58c68898cd-w2z2m,client3,728.4390000000001
69,0,client3,client3-58c68898cd-w2z2m,linkerd-init,0.0
70,0,client18,client18-69db77c748-8tkrq,linkerd-proxy,708.5160000000001
71,0,client18,client18-69db77c748-8tkrq,client18,708.831
72,0,client18,client18-69db77c748-8tkrq,sidecar,707.247
73,0,client18,client18-69db77c748-8tkrq,linkerd-init,0.0
74,0,client7,client7-544486cc98-9bpqr,linkerd-init,0.0
75,0,client7,client7-544486cc98-9bpqr,client7,690.5939999999998
76,0,client7,client7-544486cc98-9bpqr,linkerd-proxy,690.192
