,GlobalAccuracy,AggregationTime,TotalTrainingTime,RoundDuration
0,0.16291487400122925,519.8565851897001,11454.744919203222,161784978975
1,0.27811923786109405,531.341859139502,10592.188694514334,162559029369
2,0.3803779963122311,507.67276249825954,11516.93523209542,163532464741
3,0.4739935464044253,529.4403210282326,11010.298568755388,164194174623
4,0.5061078672403196,510.0196050480008,11870.945952832699,163939420139
5,0.5586969883220652,460.01304406672716,10712.194259278476,162084918687
6,0.5872387830362631,524.5185485109687,10723.907490260899,162260288686
7,0.609480639213276,507.75223411619663,10623.85387532413,161475236771
8,0.6322218807621389,494.59870997816324,10511.2977437675,162587030079
9,0.5820528580208973,513.8627290725708,11238.66607900709,162741854920
10,0.573140749846343,477.70645562559366,10436.460366472602,163267683394
11,0.28445759065765214,463.2441168650985,10596.1092999205,162963933019
12,0.2633681622618316,524.3980111554265,11132.380205206573,164035473015
13,0.35506299938537184,523.3325222507119,10908.660659566522,163334225026
14,0.52569913952059,498.8206820562482,10926.376177929342,161827314277
15,0.6034880147510756,563.599681481719,11203.97543348372,162819285881
16,0.6079824830977258,500.916188582778,11485.243437811732,164632941556
17,0.6349492931776275,481.80907871574163,11107.758595608175,162712335641
18,0.6536954517516902,573.4636494889855,11436.276816762984,162481746094
19,0.6536570374923172,485.7444493100047,11051.221787929535,161666406433
20,0.6573448063921328,498.6580517143011,10941.973162814975,162320284725
21,0.676820835894284,489.0884105116129,10888.447064906359,162162845504
22,0.678280577750461,543.7399474903941,10982.884486205876,162175555190
23,0.6851567301782422,545.4134568572044,11250.255208462477,164178408875
24,0.6725184388444991,521.3481523096561,11024.694064632058,163859924491
