,round,namespace,pod_name,container_name,joules
78,0,server,server-656f98b57f-pgrjb,linkerd-init,0.0
79,0,server,server-656f98b57f-pgrjb,server,515.232
80,0,server,server-656f98b57f-pgrjb,sidecar,415.93500000000006
81,0,server,server-656f98b57f-pgrjb,linkerd-proxy,496.42800000000005
82,0,client14,client14-856b5b5576-4xnjh,client14,752.337
83,0,client14,client14-856b5b5576-4xnjh,sidecar,750.6510000000001
84,0,client14,client14-856b5b5576-4xnjh,linkerd-proxy,752.094
85,0,client10,client10-694b6b97b4-bwjx6,sidecar,679.5029999999999
86,0,client10,client10-694b6b97b4-bwjx6,client10,681.8009999999999
87,0,client10,client10-694b6b97b4-bwjx6,linkerd-proxy,682.0260000000001
88,0,orchestrator,policy-enforcer-cb8dccbd8-5w5g5,sidecar,301.611
89,0,api-gateway,api-gateway-6bf76d45b7-t68sl,api-gateway,366.09299999999996
90,0,orchestrator,orchestrator-555f7b7c9d-f5qqb,orchestrator,182.70599999999996
91,0,orchestrator,policy-enforcer-cb8dccbd8-5w5g5,policy-enforcer,206.079
92,0,api-gateway,api-gateway-6bf76d45b7-t68sl,sidecar,275.98800000000006
93,0,orchestrator,orchestrator-555f7b7c9d-f5qqb,sidecar,240.42899999999997
94,0,client1,client1-7b9db886dd-2knc6,sidecar,539.2139999999999
95,0,client1,client1-7b9db886dd-2knc6,client1,639.015
96,0,client17,maurits-dijk-607b104eclient171-xjlhd,hfl-train-model,772.008
97,0,client17,maurits-dijk-607b104eclient171-xjlhd,hfl-train,863.331
98,0,client17,maurits-dijk-607b104eclient171-xjlhd,sidecar,648.48
99,0,client9,maurits-dijk-607b104eclient91-8f6cj,hfl-train-model,778.863
100,0,client9,maurits-dijk-607b104eclient91-8f6cj,hfl-train,853.4460000000001
101,0,client9,maurits-dijk-607b104eclient91-8f6cj,sidecar,618.963
102,0,client5,maurits-dijk-607b104eclient51-vbgbl,sidecar,666.918
103,0,client5,maurits-dijk-607b104eclient51-vbgbl,hfl-train-model,731.019
104,0,client5,maurits-dijk-607b104eclient51-vbgbl,hfl-train,807.048
105,0,client1,maurits-dijk-607b104eclient11-w2zkx,hfl-train,711.69
106,0,client1,maurits-dijk-607b104eclient11-w2zkx,hfl-train-model,637.53
107,0,client1,maurits-dijk-607b104eclient11-w2zkx,sidecar,557.763
108,0,client13,maurits-dijk-607b104eclient131-8ntqf,hfl-train,712.059
109,0,client13,maurits-dijk-607b104eclient131-8ntqf,hfl-train-model,602.0250000000001
110,0,client13,maurits-dijk-607b104eclient131-8ntqf,sidecar,562.917
111,0,server,maurits-dijk-607b104eserver1-m6fls,sidecar,402.10499999999996
112,0,server,maurits-dijk-607b104eserver1-m6fls,hfl-train-model,758.9549999999999
113,0,server,maurits-dijk-607b104eserver1-m6fls,hfl-train,493.07099999999997
114,1,client8,client8-5845965f99-ph6gk,client8,688.7279999999998
115,1,client8,client8-5845965f99-ph6gk,linkerd-proxy,688.1640000000002
116,1,client8,client8-5845965f99-ph6gk,linkerd-init,0.0
117,1,client8,client8-5845965f99-ph6gk,sidecar,622.6529999999998
118,1,client14,client14-856b5b5576-4xnjh,linkerd-init,0.0
119,1,client10,client10-694b6b97b4-bwjx6,linkerd-init,0.0
120,1,orchestrator,policy-enforcer-cb8dccbd8-5w5g5,linkerd-init,0.0
121,1,orchestrator,orchestrator-555f7b7c9d-f5qqb,linkerd-init,0.0
122,1,orchestrator,policy-enforcer-cb8dccbd8-5w5g5,linkerd-proxy,334.4820000000001
123,1,api-gateway,api-gateway-6bf76d45b7-t68sl,linkerd-proxy,352.773
124,1,api-gateway,api-gateway-6bf76d45b7-t68sl,linkerd-init,0.0
125,1,orchestrator,orchestrator-555f7b7c9d-f5qqb,linkerd-proxy,334.66200000000003
126,1,client6,client6-785d875985-rf96j,client6,645.894
127,1,client6,client6-785d875985-rf96j,linkerd-init,0.0
128,1,client6,client6-785d875985-rf96j,sidecar,643.7759999999998
129,1,client6,client6-785d875985-rf96j,linkerd-proxy,645.6689999999999
130,1,client4,client4-744474fb99-t52mp,client4,732.8040000000001
131,1,client4,client4-744474fb99-t52mp,linkerd-init,0.0
132,1,client4,client4-744474fb99-t52mp,linkerd-proxy,732.9390000000001
133,1,client4,client4-744474fb99-t52mp,sidecar,730.8239999999998
134,1,client17,client17-69b85b5ccf-59527,linkerd-init,0.0
135,1,client17,client17-69b85b5ccf-59527,sidecar,511.4549999999999
136,1,client17,client17-69b85b5ccf-59527,client17,711.7379999999998
137,1,client17,client17-69b85b5ccf-59527,linkerd-proxy,708.6840000000002
138,1,client15,client15-79c969ddf-7jphg,linkerd-proxy,649.248
139,1,client15,client15-79c969ddf-7jphg,sidecar,647.952
140,1,client15,client15-79c969ddf-7jphg,linkerd-init,0.0
141,1,client15,client15-79c969ddf-7jphg,client15,649.569
142,1,client9,client9-d68fb99b4-fqngv,client9,651.0450000000001
143,1,client9,client9-d68fb99b4-fqngv,sidecar,574.5479999999999
144,1,client9,client9-d68fb99b4-fqngv,linkerd-init,0.0
145,1,client9,client9-d68fb99b4-fqngv,linkerd-proxy,649.1250000000002
146,1,client5,client5-7d5ff7f8b4-v5j4z,linkerd-init,0.0
147,1,client5,client5-7d5ff7f8b4-v5j4z,sidecar,447.14999999999986
148,1,client5,client5-7d5ff7f8b4-v5j4z,client5,598.0379999999998
149,1,client5,client5-7d5ff7f8b4-v5j4z,linkerd-proxy,594.423
150,1,client12,client12-79bc8d5846-bcn9p,sidecar,648.3810000000001
151,1,client12,client12-79bc8d5846-bcn9p,client12,680.46
152,1,client12,client12-79bc8d5846-bcn9p,linkerd-proxy,680.685
153,1,client12,client12-79bc8d5846-bcn9p,linkerd-init,0.0
154,1,client16,client16-6dc7f87f54-zmq4w,client16,829.98
155,1,client16,client16-6dc7f87f54-zmq4w,sidecar,827.847
156,1,client16,client16-6dc7f87f54-zmq4w,linkerd-proxy,830.0999999999999
157,1,client16,client16-6dc7f87f54-zmq4w,linkerd-init,0.0
158,1,client2,client2-86cd6d8cf7-m8tdw,client2,684.9540000000002
159,1,client2,client2-86cd6d8cf7-m8tdw,linkerd-proxy,684.7829999999999
160,1,client2,client2-86cd6d8cf7-m8tdw,linkerd-init,0.0
161,1,client2,client2-86cd6d8cf7-m8tdw,sidecar,683.3970000000002
162,1,client3,client3-58c68898cd-mnfzb,client3,700.8960000000002
163,1,client3,client3-58c68898cd-mnfzb,linkerd-init,0.0
164,1,client3,client3-58c68898cd-mnfzb,sidecar,699.2280000000001
165,1,client3,client3-58c68898cd-mnfzb,linkerd-proxy,700.8209999999999
166,1,client18,client18-69db77c748-s7vbm,client18,887.3160000000003
167,1,client18,client18-69db77c748-s7vbm,linkerd-proxy,887.1480000000001
168,1,client18,client18-69db77c748-s7vbm,sidecar,885.5850000000003
169,1,client18,client18-69db77c748-s7vbm,linkerd-init,0.0
170,1,client7,client7-544486cc98-m7xsp,linkerd-proxy,803.1899999999999
171,1,client7,client7-544486cc98-m7xsp,sidecar,801.984
172,1,client7,client7-544486cc98-m7xsp,client7,803.688
173,1,client7,client7-544486cc98-m7xsp,linkerd-init,0.0
174,1,client11,client11-565c48c7c7-47bw9,client11,782.904
175,1,client11,client11-565c48c7c7-47bw9,sidecar,780.972
176,1,client11,client11-565c48c7c7-47bw9,linkerd-proxy,782.6610000000003
177,1,client11,client11-565c48c7c7-47bw9,linkerd-init,0.0
178,1,client19,client19-56fccdb4d9-tbsjx,sidecar,805.6800000000001
179,1,client19,client19-56fccdb4d9-tbsjx,client19,807.489
180,1,client19,client19-56fccdb4d9-tbsjx,linkerd-init,0.0
181,1,client19,client19-56fccdb4d9-tbsjx,linkerd-proxy,807.1800000000001
182,1,client1,client1-7b9db886dd-2knc6,linkerd-init,0.0
183,1,client1,client1-7b9db886dd-2knc6,linkerd-proxy,798.525
184,1,client13,client13-7bf86f4f87-llhzl,sidecar,575.274
185,1,client13,client13-7bf86f4f87-llhzl,client13,763.575
186,1,client13,client13-7bf86f4f87-llhzl,linkerd-init,0.0
187,1,client13,client13-7bf86f4f87-llhzl,linkerd-proxy,760.641
188,1,client20,client20-65f8864f77-fbnnk,client20,864.5280000000002
189,1,client20,client20-65f8864f77-fbnnk,sidecar,862.5870000000002
190,1,client20,client20-65f8864f77-fbnnk,linkerd-init,0.0
191,1,client20,client20-65f8864f77-fbnnk,linkerd-proxy,864.2369999999999
192,1,server,server-656f98b57f-pgrjb,linkerd-init,0.0
193,1,server,server-656f98b57f-pgrjb,server,596.3760000000001
194,1,server,server-656f98b57f-pgrjb,sidecar,468.93600000000004
195,1,server,server-656f98b57f-pgrjb,linkerd-proxy,586.086
196,1,client14,client14-856b5b5576-4xnjh,client14,675.5159999999998
197,1,client14,client14-856b5b5576-4xnjh,sidecar,673.6889999999999
198,1,client14,client14-856b5b5576-4xnjh,linkerd-proxy,675.249
199,1,client10,client10-694b6b97b4-bwjx6,sidecar,655.962
200,1,client10,client10-694b6b97b4-bwjx6,client10,657.9510000000002
201,1,client10,client10-694b6b97b4-bwjx6,linkerd-proxy,658.056
202,1,orchestrator,policy-enforcer-cb8dccbd8-5w5g5,sidecar,333.58500000000004
203,1,api-gateway,api-gateway-6bf76d45b7-t68sl,api-gateway,356.34900000000005
204,1,orchestrator,orchestrator-555f7b7c9d-f5qqb,orchestrator,193.2390000000001
205,1,orchestrator,policy-enforcer-cb8dccbd8-5w5g5,policy-enforcer,247.04700000000003
206,1,api-gateway,api-gateway-6bf76d45b7-t68sl,sidecar,314.81699999999995
207,1,orchestrator,orchestrator-555f7b7c9d-f5qqb,sidecar,246.84300000000002
208,1,client1,client1-7b9db886dd-2knc6,sidecar,694.506
209,1,client1,client1-7b9db886dd-2knc6,client1,799.902
210,1,client17,maurits-dijk-607b104eclient171-xjlhd,hfl-train-model,705.861
211,1,client17,maurits-dijk-607b104eclient171-xjlhd,hfl-train,779.0070000000001
212,1,client17,maurits-dijk-607b104eclient171-xjlhd,sidecar,639.3629999999999
213,1,client9,maurits-dijk-607b104eclient91-8f6cj,hfl-train-model,643.8719999999998
214,1,client9,maurits-dijk-607b104eclient91-8f6cj,hfl-train,712.8869999999997
215,1,client9,maurits-dijk-607b104eclient91-8f6cj,sidecar,495.399
216,1,client5,maurits-dijk-607b104eclient51-vbgbl,sidecar,534.0629999999998
217,1,client5,maurits-dijk-607b104eclient51-vbgbl,hfl-train-model,591.7950000000001
218,1,client5,maurits-dijk-607b104eclient51-vbgbl,hfl-train,661.7369999999999
219,1,client1,maurits-dijk-607b104eclient11-w2zkx,hfl-train,870.4769999999999
220,1,client1,maurits-dijk-607b104eclient11-w2zkx,hfl-train-model,791.7269999999999
221,1,client1,maurits-dijk-607b104eclient11-w2zkx,sidecar,692.4449999999998
222,1,client13,maurits-dijk-607b104eclient131-8ntqf,hfl-train,860.0129999999999
223,1,client13,maurits-dijk-607b104eclient131-8ntqf,hfl-train-model,757.5659999999999
224,1,client13,maurits-dijk-607b104eclient131-8ntqf,sidecar,667.9979999999998
225,1,server,maurits-dijk-607b104eserver1-m6fls,sidecar,437.1840000000001
226,1,server,maurits-dijk-607b104eserver1-m6fls,hfl-train-model,839.643
227,1,server,maurits-dijk-607b104eserver1-m6fls,hfl-train,582.306
228,2,client8,client8-5845965f99-ph6gk,client8,932.5050000000003
229,2,client8,client8-5845965f99-ph6gk,linkerd-proxy,931.9529999999997
230,2,client8,client8-5845965f99-ph6gk,linkerd-init,0.0
231,2,client8,client8-5845965f99-ph6gk,sidecar,851.2830000000001
232,2,client14,client14-856b5b5576-4xnjh,linkerd-init,0.0
233,2,client10,client10-694b6b97b4-bwjx6,linkerd-init,0.0
234,2,orchestrator,policy-enforcer-cb8dccbd8-5w5g5,linkerd-init,0.0
235,2,orchestrator,orchestrator-555f7b7c9d-f5qqb,linkerd-init,0.0
236,2,orchestrator,policy-enforcer-cb8dccbd8-5w5g5,linkerd-proxy,407.78099999999984
237,2,api-gateway,api-gateway-6bf76d45b7-t68sl,linkerd-proxy,426.70799999999997
238,2,api-gateway,api-gateway-6bf76d45b7-t68sl,linkerd-init,0.0
239,2,orchestrator,orchestrator-555f7b7c9d-f5qqb,linkerd-proxy,407.81399999999985
240,2,client6,client6-785d875985-rf96j,client6,791.1539999999998
241,2,client6,client6-785d875985-rf96j,linkerd-init,0.0
242,2,client6,client6-785d875985-rf96j,sidecar,788.5320000000002
243,2,client6,client6-785d875985-rf96j,linkerd-proxy,790.8090000000002
244,2,client4,client4-744474fb99-t52mp,client4,827.6490000000003
245,2,client4,client4-744474fb99-t52mp,linkerd-init,0.0
246,2,client4,client4-744474fb99-t52mp,linkerd-proxy,827.5890000000002
247,2,client4,client4-744474fb99-t52mp,sidecar,825.2550000000001
248,2,client17,client17-69b85b5ccf-59527,linkerd-init,0.0
249,2,client17,client17-69b85b5ccf-59527,sidecar,670.854
250,2,client17,client17-69b85b5ccf-59527,client17,804.0
251,2,client17,client17-69b85b5ccf-59527,linkerd-proxy,800.1510000000003
252,2,client15,client15-79c969ddf-7jphg,linkerd-proxy,753.6120000000001
253,2,client15,client15-79c969ddf-7jphg,sidecar,751.9770000000001
254,2,client15,client15-79c969ddf-7jphg,linkerd-init,0.0
255,2,client15,client15-79c969ddf-7jphg,client15,753.858
256,2,client9,client9-d68fb99b4-fqngv,client9,816.9240000000002
257,2,client9,client9-d68fb99b4-fqngv,sidecar,687.027
258,2,client9,client9-d68fb99b4-fqngv,linkerd-init,0.0
259,2,client9,client9-d68fb99b4-fqngv,linkerd-proxy,816.3419999999999
260,2,client5,client5-7d5ff7f8b4-v5j4z,linkerd-init,0.0
261,2,client5,client5-7d5ff7f8b4-v5j4z,sidecar,538.854
262,2,client5,client5-7d5ff7f8b4-v5j4z,client5,720.2549999999999
263,2,client5,client5-7d5ff7f8b4-v5j4z,linkerd-proxy,715.6320000000001
264,2,client12,client12-79bc8d5846-bcn9p,sidecar,821.1029999999998
265,2,client12,client12-79bc8d5846-bcn9p,client12,862.0019999999997
