Round,ClientID,ClientAccuracy,ClientTrainingTime,K,timestamp
0,client5,0.2417094017094017,2666.029213927686,5,05-03-26-182241
0,client17,0.2470767666497204,2328.0929289758205,5,05-03-26-182241
0,client13,0.2248747913188648,3163.397478172556,5,05-03-26-182241
0,client1,0.2308347529812606,2660.997749073431,5,05-03-26-182241
0,client9,0.2231532147742818,2323.743926128373,5,05-03-26-182241
1,client5,0.3447863247863247,2400.2030310221016,5,05-03-26-182241
1,client17,0.2419928825622775,2201.947779161856,5,05-03-26-182241
1,client13,0.3265442404006677,3040.6901810783893,5,05-03-26-182241
1,client1,0.3315161839863714,2311.302062124014,5,05-03-26-182241
1,client9,0.3050615595075239,2463.887098012492,5,05-03-26-182241
2,client5,0.3947008547008547,2498.7729389686137,5,05-03-26-182241
2,client17,0.4150144043382477,2162.662639981136,5,05-03-26-182241
2,client13,0.4111853088480801,2939.5833099260926,5,05-03-26-182241
2,client1,0.4201022146507666,2287.133623147384,5,05-03-26-182241
2,client9,0.4307455540355677,2285.6096841860563,5,05-03-26-182241
3,client5,0.5273504273504274,2695.825044065714,5,05-03-26-182241
3,client17,0.4555160142348754,2473.602622980252,5,05-03-26-182241
3,client13,0.4662771285475793,2867.526302114129,5,05-03-26-182241
3,client1,0.472572402044293,2268.402436049655,5,05-03-26-182241
3,client9,0.4849521203830369,2506.714406888932,5,05-03-26-182241
4,client5,0.5405128205128205,2498.743588104844,5,05-03-26-182241
4,client17,0.5339772919844095,2226.651613134891,5,05-03-26-182241
4,client13,0.5969949916527546,2897.8884869720787,5,05-03-26-182241
4,client1,0.5386712095400341,2309.3306340742856,5,05-03-26-182241
4,client9,0.603454172366621,2304.6832520049065,5,05-03-26-182241
5,client5,0.5545299145299145,2419.071905082092,5,05-03-26-182241
5,client17,0.5339772919844095,2531.644240953028,5,05-03-26-182241
5,client13,0.6131886477462437,2924.1831339895725,5,05-03-26-182241
5,client1,0.6052810902896082,2270.059610949829,5,05-03-26-182241
5,client9,0.5870383036935705,2217.6964599639177,5,05-03-26-182241
6,client5,0.6011965811965811,2475.333004957065,5,05-03-26-182241
6,client17,0.5988815455007626,2346.2752669584006,5,05-03-26-182241
6,client13,0.5819699499165275,3007.31638004072,5,05-03-26-182241
6,client1,0.6405451448040886,2241.410934133455,5,05-03-26-182241
6,client9,0.6292749658002736,2446.879002032801,5,05-03-26-182241
7,client5,0.5594871794871795,2509.4086369499564,5,05-03-26-182241
7,client17,0.5029655990510083,2283.173040021211,5,05-03-26-182241
7,client13,0.5734557595993323,2899.9013281427324,5,05-03-26-182241
7,client1,0.6448040885860307,2862.28175717406,5,05-03-26-182241
7,client9,0.6374829001367989,2290.3958330862224,5,05-03-26-182241
8,client5,0.5232478632478632,2453.003937145695,5,05-03-26-182241
8,client17,0.2389425521098118,2243.2228489778936,5,05-03-26-182241
8,client13,0.5984974958263773,2911.018617916852,5,05-03-26-182241
8,client1,0.5081771720613288,2276.3376948423684,5,05-03-26-182241
8,client9,0.6489398084815321,2548.163191182539,5,05-03-26-182241
9,client5,0.1514529914529914,2488.247610162944,5,05-03-26-182241
9,client17,0.1892899508557871,2358.7942000012845,5,05-03-26-182241
9,client13,0.4318864774624374,2922.251016134396,5,05-03-26-182241
9,client1,0.2391822827938671,2277.879000874236,5,05-03-26-182241
9,client9,0.448016415868673,2270.263534039259,5,05-03-26-182241
10,client5,0.1979487179487179,2266.723087988794,5,05-03-26-182241
10,client17,0.2355532960515167,2340.2729369699955,5,05-03-26-182241
10,client13,0.1956594323873121,2949.83991002664,5,05-03-26-182241
10,client1,0.1896081771720613,2294.7168389800936,5,05-03-26-182241
10,client9,0.1774965800273597,2672.331217909232,5,05-03-26-182241
11,client5,0.3005128205128205,2557.8803869429976,5,05-03-26-182241
11,client17,0.3175732926622606,2382.079161936417,5,05-03-26-182241
11,client13,0.3813021702838063,2928.693447029218,5,05-03-26-182241
11,client1,0.3863713798977853,2604.660537093878,5,05-03-26-182241
11,client9,0.3968878248974008,2503.6206368822604,5,05-03-26-182241
