,GlobalAccuracy,AggregationTime,TotalTrainingTime,RoundDuration
0,0.48078,16.56225399347022,2053.309832175728,6675536355
1,0.52567,19.642969011329114,2025.822942960076,6688940637
2,0.53267,15.815443999599665,1931.2590521294624,7649186674
3,0.57205,12.196272029541433,2004.7141368850134,6682592028
4,0.57344,13.385947968345135,1954.2644399334677,6678100005
5,0.56488,15.675469010602683,1966.6626050020568,6722254435
6,0.58744,15.505710034631193,1941.1160840536468,6729647609
7,0.56769,14.747528010047972,1980.0240580225363,7037375041
8,0.57821,16.079873021226376,1947.2219480085187,6648240851
9,0.5931,15.168192039709538,2026.303022110369,6673632533
10,0.58987,15.728550963103771,2043.8816150999628,6624034934
11,0.59458,13.953679008409381,1964.1123861656524,6698708641
12,0.57733,17.077726020943373,1926.2605770491064,7625583993
13,0.56412,12.378875981085002,2008.0934500438161,6653579810
14,0.59539,13.578370970208198,1973.4675670042634,6699888734
15,0.58986,16.226740030106157,1988.0393779603764,6606026615
16,0.58824,14.437761972658336,1965.0843860581517,6631679703
17,0.5965,14.97514802031219,1984.077323868405,6981594140
18,0.59274,14.27858299575746,1930.1926330663264,6612277463
19,0.59456,15.128938015550375,1989.5095519605093,6599297980
