,GlobalAccuracy,AggregationTime,TotalTrainingTime,RoundDuration
0,0.52513,14.192630012985319,4264.131748990621,7247178887
1,0.51274,10.908359952736646,4088.486879307311,7181695443
2,0.55233,9.789237985387444,4113.79332607612,8105966160
3,0.58757,14.417353027965873,4121.462280978449,7222456067
4,0.59276,16.827983024995774,4164.97718996834,7122104885
5,0.59442,15.922473976388574,4146.485481993295,7204893712
6,0.5709,16.29823399707675,4129.107615095563,7185877851
7,0.59403,16.45514997653663,4214.784028881695,7585722411
8,0.58205,14.143806998617947,4181.71185295796,7290195169
9,0.58697,15.256608021445572,4284.352160990238,7247376270
10,0.59748,15.204729977995157,4114.161157049239,7132165570
11,0.59938,15.037283999845386,4064.9065350880846,8366260838
12,0.58662,18.295664980541915,4127.567600924522,7244245450
13,0.5873,17.877585953101516,4247.808604966849,7291668146
14,0.59674,14.827187987975776,4208.891024987679,7113814886
15,0.58945,14.235220034606755,4186.5520038991235,7589299337
16,0.58343,18.425479996949434,4142.058041121345,7244863227
17,0.59946,17.182503012008965,4141.3993770838715,7173321137
18,0.59984,13.543514010962099,4173.55593299726,7125556237
19,0.59063,11.468457989394665,4157.755366060883,7152090455
20,0.60044,16.89881703350693,4097.340649168473,7391345269
21,0.60084,15.05216199439019,4242.664067889564,7350742287
22,0.5999,15.89819003129378,4214.873090037145,7642216762
23,0.5939,19.333793956320733,4168.7136219698,7292167101
24,0.59299,12.371262011583894,4200.08097612299,7463195973
25,0.59559,15.421730000525713,4248.54970886372,7295282038
26,0.60101,16.083366994280368,4236.468776944093,7267656565
27,0.60104,14.42819501971826,4205.176739837043,7249745272
28,0.60069,10.825944016687572,4220.165594888385,7179785631
29,0.59303,14.305905962828547,4221.705627103802,7380425298
30,0.59396,17.505499999970198,4226.573174062651,7729607615
31,0.59349,11.309947003610432,4198.399259184953,7234506491
32,0.5972,15.677132993005216,4250.665927131195,7246568159
33,0.58753,18.20821699220687,4230.387876043096,7191205152
34,0.59868,14.93374101119116,4197.673386079259,7202888823
35,0.60193,16.712727025151253,4164.055040862877,7317166656
36,0.60218,15.203650982584804,4159.78158992948,7233305635
37,0.59433,16.975453007034957,4151.046384009533,7142680219
38,0.59406,15.598806960042566,4179.74505800521,7483545165
39,0.59931,16.43198897363618,4156.938320957124,7349968433
