,GlobalAccuracy,AggregationTime,TotalTrainingTime,RoundDuration
0,0.47454,20.690971985459328,2709.0172030148096,7196110219
1,0.52594,16.04678900912404,2709.5743829850107,7138623105
2,0.54751,13.412513013463467,2613.214753975626,7177351274
3,0.59224,14.403774053789675,2656.444520049263,7101515342
4,0.59418,11.523224005941302,2616.900014108978,7134456943
5,0.59078,19.497996021527797,2686.6798160481267,7082284822
6,0.59599,19.95556999463588,2649.297664000187,7156651494
7,0.58299,14.752562041394413,2586.495137948077,7660565603
8,0.5679,11.63526502205059,2588.7183360173367,7099125576
9,0.58489,17.255249025765806,2599.841123970691,7123938749
10,0.57265,13.324154017027467,2561.580436071381,7057715941
11,0.59181,13.399736024439335,2554.400781984441,7102976987
12,0.60079,13.833696022629738,2567.638313048519,7205886569
13,0.59596,17.4368399893865,2527.2657370660454,7128985225
14,0.59982,15.325272979680449,2697.152611974161,7115728864
15,0.58463,14.368955977261066,2673.6550119821914,7075140941
16,0.59091,14.399231993593276,2769.2945331218652,7137418589
17,0.59857,13.194958970416337,2598.5732350382023,7176856162
18,0.60104,13.229053001850843,2813.6781270150095,7165958387
19,0.55579,12.238031020388007,2652.840998081956,7154351123
20,0.59997,13.936147966887802,2674.96050108457,7123298734
21,0.5963,17.45980099076405,2737.7795269712806,7114016678
22,0.59386,22.335037996526808,2698.3738719136454,7356350214
23,0.60068,16.237313975580037,2701.5647019143216,7112358454
24,0.5992,16.992580029182136,2644.9327580048703,7088772357
25,0.60055,12.746772030368447,2649.1179059958085,7097269610
26,0.59472,13.744455005507916,2681.334850960411,7120471127
27,0.59981,14.297538029495627,2661.176784953568,7174789876
28,0.59717,15.08303196169436,2630.1798860076815,7068684021
29,0.59562,17.75710197398439,2696.375743893441,7110988703
30,0.59703,12.847420002799481,2672.9142180411145,7088875515
31,0.60083,18.05815997067839,2662.5837170286104,7085557374
32,0.58046,15.067832020577043,2597.040483960882,7193489906
33,0.59918,16.821063007228076,2656.51793894358,7094194713
34,0.58253,16.015842964407057,2655.4853380075656,7124499012
35,0.59911,12.503770994953811,2610.7939690118656,7079173786
36,0.59287,15.178040019236505,2653.863577055745,7111024599
37,0.60075,14.059909037314355,2624.961544992402,7306896552
38,0.59948,15.662354009691626,2689.792314078659,7094337047
39,0.60126,13.238016981631517,2856.592442083638,7133827939
40,0.60225,14.125824032817036,2723.4172629541717,7084199893
41,0.6006,12.148609035648406,2697.7524870308116,7101082466
42,0.60026,14.52249102294445,2609.043468895834,7183406779
43,0.60057,15.026464010588825,2782.4759950162843,7161069251
44,0.60151,18.526503001339734,2582.490644126665,7096471189
45,0.5986,13.58435902511701,2688.120435923338,7087117822
46,0.60044,14.552809007000178,2619.7355619515292,7121943331
47,0.60289,15.165595046710223,2707.6094619114883,7224054945
48,0.6028,14.648379001300782,2614.0325079322793,7094097703
49,0.59994,14.915121020749211,2626.2881960137747,7114616882
50,0.60275,15.66753297811374,2636.2585780443624,7115857734
51,0.60232,16.153400007169694,2643.2638129917905,7063633966
52,0.60142,15.206371957901865,2670.604864950292,7194230238
53,0.60313,15.821331995539367,2640.4611589969136,7083215607
54,0.60298,18.760651000775397,2590.6780849327333,7129766910
55,0.60313,14.886736986227334,2670.708442106843,7104363570
56,0.60267,14.464360021520406,2657.018479949329,7103761625
57,0.60074,14.061538968235254,2699.7381529654376,7201900588
58,0.60309,17.331072012893856,2721.511475974694,7104239095
59,0.60073,16.441873973235488,2724.6648060390726,7161020433
