round,namespace,pod_name,container_name,joules,exp,K,Z,sigma_ed,sigma_iid,timestamp,dbscan_label,zscore
4,client20,client20-65f8864f77-fmg9c,client20,609.8490000000002,exp1,5,15,1000.0,10,08-05-26-123027,-1,-2.5910206426385316
4,client20,client20-65f8864f77-fmg9c,linkerd-proxy,609.6990000000001,exp1,5,15,1000.0,10,08-05-26-123027,-1,-2.591594650043909
4,client20,client20-65f8864f77-fmg9c,sidecar,531.489,exp1,5,15,1000.0,10,08-05-26-123027,-1,-2.7924209913562317
21,client3,client3-58c68898cd-g6m7b,client3,642.9419999999991,exp1,5,15,1000.0,10,09-05-26-141047,-1,-2.5399681588495313
21,client3,client3-58c68898cd-g6m7b,linkerd-proxy,643.0319999999992,exp1,5,15,1000.0,10,09-05-26-141047,-1,-2.538283270621716
21,client3,client3-58c68898cd-g6m7b,sidecar,640.8539999999994,exp1,5,15,1000.0,10,09-05-26-141047,-1,-2.539339847608426
19,client5,client5-7d5ff7f8b4-4vqw2,client5,569.5950000000012,exp1,5,15,1000.0,10,08-05-26-123027,-1,-2.902284811390216
19,client5,client5-7d5ff7f8b4-4vqw2,linkerd-proxy,567.5040000000008,exp1,5,15,1000.0,10,08-05-26-123027,-1,-2.9057794922873974
21,client5,client5-7d5ff7f8b4-twhkj,client5,576.1890000000021,exp1,5,15,1000.0,10,10-05-26-111252,-1,-2.99687095867626
21,client5,client5-7d5ff7f8b4-twhkj,linkerd-proxy,572.2049999999999,exp1,5,15,1000.0,10,10-05-26-111252,-1,-2.991187681192861
19,client5,maurits-dijk-3efc04ddclient51-5hvmh,hfl-train,1015.0109999999986,exp1,5,15,1000.0,10,08-05-26-123027,-1,-2.829894988511784
19,client5,maurits-dijk-3efc04ddclient51-5hvmh,hfl-train-model,565.3529999999992,exp1,5,15,1000.0,10,08-05-26-123027,-1,-2.9064618966985094
21,client5,maurits-dijk-ab40b6adclient51-fpm4g,hfl-train-model,569.7750000000015,exp1,5,15,1000.0,10,10-05-26-111252,-1,-2.996278845636999
22,client5,maurits-dijk-ac6ea51cclient51-8vhg7,hfl-train,1064.4659999999967,exp1,5,15,1000.0,10,09-05-26-141047,-1,-2.5591565443872852
5,client6,client6-785d875985-pcl82,client6,654.3959999999997,exp1,5,15,1000.0,10,10-05-26-111252,-1,-2.8775627484913344
5,client6,client6-785d875985-pcl82,linkerd-proxy,654.0479999999998,exp1,5,15,1000.0,10,10-05-26-111252,-1,-2.879456549185214
5,client6,client6-785d875985-pcl82,sidecar,652.5269999999991,exp1,5,15,1000.0,10,10-05-26-111252,-1,-2.8805753597357326
10,client9,maurits-dijk-ac6ea51cclient91-jx8xd,hfl-train,1067.5919999999987,exp1,5,15,1000.0,10,09-05-26-141047,-1,-2.7903910859379106
2,orchestrator,orchestrator-555f7b7c9d-789cp,linkerd-proxy,321.8789999999999,exp1,5,15,1000.0,10,08-05-26-123027,-1,-2.6073855548568736
2,orchestrator,policy-enforcer-cb8dccbd8-mmnnz,linkerd-proxy,321.86400000000003,exp1,5,15,1000.0,10,08-05-26-123027,-1,-2.6073064515151656
16,server,server-656f98b57f-6rcfc,linkerd-proxy,467.5650000000005,exp1,5,15,1000.0,10,08-05-26-123027,-1,-2.535508386559376
21,client11,client11-565c48c7c7-xqg29,sidecar,961.719000000001,exp1,5,30,1000.0,10,10-05-26-123039,-1,2.5059000680110914
19,client18,client18-69db77c748-bhkrv,client18,1034.0070000000014,exp1,5,30,1000.0,10,08-05-26-134913,-1,2.8054020395972943
19,client18,client18-69db77c748-bhkrv,linkerd-proxy,1033.9049999999988,exp1,5,30,1000.0,10,08-05-26-134913,-1,2.806013371502536
19,client18,client18-69db77c748-bhkrv,sidecar,1032.255000000001,exp1,5,30,1000.0,10,08-05-26-134913,-1,2.8086385957479156
3,client9,maurits-dijk-29c296d0client91-gm2dp,hfl-train,811.212,exp1,5,30,1000.0,10,08-05-26-134913,-1,-2.5178232730085677
2,client9,maurits-dijk-29c296d0client91-gm2dp,sidecar,776.7209999999998,exp1,5,30,1000.0,10,08-05-26-134913,-1,2.628048461597024
3,client9,maurits-dijk-880b301bclient91-2sgdt,sidecar,403.0799999999999,exp1,5,30,1000.0,10,10-05-26-123039,-1,-2.678738323893051
23,client17,client17-69b85b5ccf-s5vfl,sidecar,822.210000000001,exp1,5,60,1000.0,10,10-05-26-134626,-1,2.711292992369928
6,client4,client4-744474fb99-2dhnc,client4,975.4920000000002,exp1,5,60,1000.0,10,09-05-26-164520,-1,2.6011913169242113
6,client4,client4-744474fb99-2dhnc,linkerd-proxy,975.3720000000004,exp1,5,60,1000.0,10,09-05-26-164520,-1,2.5993707981039806
6,client4,client4-744474fb99-2dhnc,sidecar,972.8850000000002,exp1,5,60,1000.0,10,09-05-26-164520,-1,2.6019179400891344
0,orchestrator,policy-enforcer-cb8dccbd8-b6nxg,sidecar,226.578,exp1,5,60,1000.0,10,08-05-26-150457,-1,-2.5469269485849293
13,client1,client1-7b9db886dd-fsjl8,sidecar,763.1940000000004,exp1,5,90,1000.0,10,08-05-26-161845,-1,2.738554387834053
22,client10,client10-694b6b97b4-lcsv8,sidecar,928.116,exp1,5,90,1000.0,10,09-05-26-175908,-1,2.742171147372114
13,client11,client11-565c48c7c7-bn2tw,sidecar,864.4229999999989,exp1,5,90,1000.0,10,08-05-26-161845,-1,2.832723338333835
17,client12,client12-79bc8d5846-ntw8f,sidecar,886.4549999999999,exp1,5,90,1000.0,10,08-05-26-161845,-1,2.716078962916889
14,client17,client17-69b85b5ccf-5phhz,client17,861.6239999999998,exp1,5,90,1000.0,10,09-05-26-175908,-1,2.6642783478313623
14,client17,client17-69b85b5ccf-5phhz,linkerd-proxy,857.6189999999988,exp1,5,90,1000.0,10,09-05-26-175908,-1,2.64464256471412
14,client17,client17-69b85b5ccf-5phhz,sidecar,808.2929999999997,exp1,5,90,1000.0,10,09-05-26-175908,-1,2.6366447254465517
14,client17,maurits-dijk-f5730e85client171-5q4ng,hfl-train,934.2000000000008,exp1,5,90,1000.0,10,09-05-26-175908,-1,2.5788267305588324
14,client17,maurits-dijk-f5730e85client171-5q4ng,hfl-train-model,854.1959999999999,exp1,5,90,1000.0,10,09-05-26-175908,-1,2.647457987069599
2,client19,client19-56fccdb4d9-l76wp,client19,1038.0840000000003,exp1,5,90,1000.0,10,10-05-26-150011,-1,2.757639957006435
2,client19,client19-56fccdb4d9-l76wp,linkerd-proxy,1037.7689999999998,exp1,5,90,1000.0,10,10-05-26-150011,-1,2.7577460672896494
20,server,server-656f98b57f-d7hjw,sidecar,608.6700000000001,exp1,5,90,1000.0,10,09-05-26-175908,-1,2.655491639164534
14,client11,client11-565c48c7c7-6wwrq,client11,945.219000000001,exp1,5,120,1000.0,10,10-05-26-155156,-1,2.682595679486031
14,client11,client11-565c48c7c7-6wwrq,linkerd-proxy,945.1529999999984,exp1,5,120,1000.0,10,10-05-26-155156,-1,2.684389136999733
14,client11,client11-565c48c7c7-6wwrq,sidecar,864.4830000000002,exp1,5,120,1000.0,10,10-05-26-155156,-1,2.847446420020043
