round,namespace,pod_name,container_name,joules
0,client20,client20-65f8864f77-l5kdx,sidecar,689.5860000001267
0,client20,client20-65f8864f77-l5kdx,client20,691.14300000004
0,client20,client20-65f8864f77-l5kdx,linkerd-proxy,690.9060000000754
0,server,server-656f98b57f-rlwxb,sidecar,539.4900000000489
0,server,server-656f98b57f-rlwxb,server,541.6710000000894
0,orchestrator,policy-enforcer-cb8dccbd8-z7pmg,sidecar,336.80100000003586
0,orchestrator,orchestrator-555f7b7c9d-vv2z2,orchestrator,111.27600000001257
0,api-gateway,api-gateway-6bf76d45b7-k9j8g,sidecar,336.80099999997765
0,orchestrator,orchestrator-555f7b7c9d-vv2z2,sidecar,336.8159999999916
0,api-gateway,api-gateway-6bf76d45b7-k9j8g,api-gateway,153.96899999998277
0,orchestrator,policy-enforcer-cb8dccbd8-z7pmg,policy-enforcer,151.27800000002026
0,client17,client17-69b85b5ccf-vqwrf,client17,888.1139999999432
0,client17,client17-69b85b5ccf-vqwrf,sidecar,886.2900000000373
0,client15,client15-79c969ddf-jsj98,client15,903.1979999999749
0,client15,client15-79c969ddf-jsj98,sidecar,901.4159999999683
0,client5,client5-7d5ff7f8b4-vtj9q,sidecar,874.1130000000121
0,client5,client5-7d5ff7f8b4-vtj9q,client5,875.7569999999832
0,client17,maurits-dijk-a51e0be5client171-4w5xg,hfl-train,0.0
0,client17,maurits-dijk-a51e0be5client171-4w5xg,sidecar,0.0
0,client17,maurits-dijk-a51e0be5client171-4w5xg,hfl-train-model,0.0
0,client9,maurits-dijk-a51e0be5client91-hvvmg,sidecar,0.0
0,client9,maurits-dijk-a51e0be5client91-hvvmg,hfl-train,0.0
0,client9,maurits-dijk-a51e0be5client91-hvvmg,hfl-train-model,0.0
0,client5,maurits-dijk-a51e0be5client51-55jvj,hfl-train,0.0
0,client5,maurits-dijk-a51e0be5client51-55jvj,sidecar,0.0
0,client5,maurits-dijk-a51e0be5client51-55jvj,hfl-train-model,0.0
0,client1,maurits-dijk-a51e0be5client11-jfcr5,sidecar,0.0
0,client1,maurits-dijk-a51e0be5client11-jfcr5,hfl-train,0.0
0,client1,maurits-dijk-a51e0be5client11-jfcr5,hfl-train-model,0.0
0,client13,maurits-dijk-a51e0be5client131-bbdtg,hfl-train-model,0.0
0,client13,maurits-dijk-a51e0be5client131-bbdtg,hfl-train,0.0
0,client13,maurits-dijk-a51e0be5client131-bbdtg,sidecar,0.0
1,client20,client20-65f8864f77-l5kdx,linkerd-init,0.0
1,server,server-656f98b57f-rlwxb,linkerd-proxy,636.5250000000233
1,server,server-656f98b57f-rlwxb,linkerd-init,0.0
1,client8,client8-5845965f99-vwgpx,linkerd-proxy,848.234999999986
1,client8,client8-5845965f99-vwgpx,client8,848.6519999998854
1,client8,client8-5845965f99-vwgpx,linkerd-init,0.0
1,client8,client8-5845965f99-vwgpx,sidecar,847.0679999999702
1,client14,client14-856b5b5576-k4dxn,client14,867.3000000000466
1,client14,client14-856b5b5576-k4dxn,linkerd-proxy,866.936999999918
1,client14,client14-856b5b5576-k4dxn,linkerd-init,0.0
1,client14,client14-856b5b5576-k4dxn,sidecar,865.3710000001593
1,client10,client10-694b6b97b4-fmmw2,sidecar,772.8840000000782
1,client10,client10-694b6b97b4-fmmw2,client10,775.5450000000419
1,client10,client10-694b6b97b4-fmmw2,linkerd-init,0.0
1,client10,client10-694b6b97b4-fmmw2,linkerd-proxy,775.515000000014
1,orchestrator,orchestrator-555f7b7c9d-vv2z2,linkerd-proxy,409.4189999999944
1,api-gateway,api-gateway-6bf76d45b7-k9j8g,linkerd-proxy,409.5659999999916
1,api-gateway,api-gateway-6bf76d45b7-k9j8g,linkerd-init,0.0
1,orchestrator,policy-enforcer-cb8dccbd8-z7pmg,linkerd-proxy,409.48199999995995
1,orchestrator,orchestrator-555f7b7c9d-vv2z2,linkerd-init,0.0
1,orchestrator,policy-enforcer-cb8dccbd8-z7pmg,linkerd-init,0.0
1,client6,client6-785d875985-p6wj7,linkerd-proxy,842.1149999998743
1,client6,client6-785d875985-p6wj7,sidecar,840.0090000000782
1,client6,client6-785d875985-p6wj7,client6,842.5050000000047
1,client6,client6-785d875985-p6wj7,linkerd-init,0.0
1,client4,client4-744474fb99-7r6nj,client4,785.7569999999832
1,client4,client4-744474fb99-7r6nj,sidecar,783.0989999999292
1,client4,client4-744474fb99-7r6nj,linkerd-proxy,785.60699999996
1,client4,client4-744474fb99-7r6nj,linkerd-init,0.0
1,client17,client17-69b85b5ccf-vqwrf,linkerd-init,0.0
1,client17,client17-69b85b5ccf-vqwrf,linkerd-proxy,702.1530000000494
1,client15,client15-79c969ddf-jsj98,linkerd-init,0.0
1,client15,client15-79c969ddf-jsj98,linkerd-proxy,682.8029999999562
1,client9,client9-d68fb99b4-27ck8,client9,719.5740000000224
1,client9,client9-d68fb99b4-27ck8,sidecar,718.1249999998836
1,client9,client9-d68fb99b4-27ck8,linkerd-proxy,719.4960000000428
1,client9,client9-d68fb99b4-27ck8,linkerd-init,0.0
1,client5,client5-7d5ff7f8b4-vtj9q,linkerd-proxy,707.1900000000605
1,client5,client5-7d5ff7f8b4-vtj9q,linkerd-init,0.0
1,client12,client12-79bc8d5846-jnjhx,client12,753.7740000000922
1,client12,client12-79bc8d5846-jnjhx,linkerd-init,0.0
1,client12,client12-79bc8d5846-jnjhx,sidecar,751.589999999851
1,client12,client12-79bc8d5846-jnjhx,linkerd-proxy,753.7289999999339
1,client16,client16-6dc7f87f54-mhgpm,linkerd-proxy,686.25
1,client16,client16-6dc7f87f54-mhgpm,sidecar,685.0860000000102
1,client16,client16-6dc7f87f54-mhgpm,client16,686.5500000000466
1,client16,client16-6dc7f87f54-mhgpm,linkerd-init,0.0
1,client2,client2-86cd6d8cf7-5d6gw,linkerd-init,0.0
1,client2,client2-86cd6d8cf7-5d6gw,client2,684.920999999973
1,client2,client2-86cd6d8cf7-5d6gw,linkerd-proxy,684.7619999999879
1,client2,client2-86cd6d8cf7-5d6gw,sidecar,683.439000000013
1,client3,client3-58c68898cd-8576n,linkerd-proxy,735.4889999999432
1,client3,client3-58c68898cd-8576n,sidecar,733.5600000000559
1,client3,client3-58c68898cd-8576n,client3,735.594000000041
1,client3,client3-58c68898cd-8576n,linkerd-init,0.0
1,client18,client18-69db77c748-ggr7s,client18,784.109999999986
1,client18,client18-69db77c748-ggr7s,linkerd-proxy,783.987000000081
1,client18,client18-69db77c748-ggr7s,linkerd-init,0.0
