,round,namespace,pod_name,container_name,joules
0,0,client19,client19-56fccdb4d9-scn26,linkerd-init,0.0
1,0,client1,client1-7b9db886dd-z5b99,linkerd-init,0.0
2,0,client13,client13-7bf86f4f87-cqlnd,linkerd-init,0.0
3,0,client20,client20-65f8864f77-kmczv,client20,875.8770000000001
4,0,client20,client20-65f8864f77-kmczv,linkerd-init,0.0
5,0,client20,client20-65f8864f77-kmczv,linkerd-proxy,875.5169999999998
6,0,client20,client20-65f8864f77-kmczv,sidecar,802.6410000000001
7,0,server,server-656f98b57f-b2lrt,linkerd-proxy,599.6400000000001
8,0,server,server-656f98b57f-b2lrt,linkerd-init,0.0
9,0,client8,client8-5845965f99-5lvrx,sidecar,741.9599999999999
10,0,client8,client8-5845965f99-5lvrx,linkerd-init,0.0
11,0,client8,client8-5845965f99-5lvrx,client8,900.567
12,0,client8,client8-5845965f99-5lvrx,linkerd-proxy,900.1769999999999
13,0,client14,client14-856b5b5576-6zzv4,linkerd-init,0.0
14,0,client14,client14-856b5b5576-6zzv4,sidecar,807.7740000000001
15,0,client14,client14-856b5b5576-6zzv4,client14,809.886
16,0,client14,client14-856b5b5576-6zzv4,linkerd-proxy,809.4
17,0,client10,client10-694b6b97b4-4vrdx,client10,910.7160000000001
18,0,client10,client10-694b6b97b4-4vrdx,linkerd-init,0.0
19,0,client10,client10-694b6b97b4-4vrdx,linkerd-proxy,910.803
20,0,client10,client10-694b6b97b4-4vrdx,sidecar,908.124
21,0,orchestrator,orchestrator-555f7b7c9d-pcjww,linkerd-init,0.0
22,0,orchestrator,policy-enforcer-cb8dccbd8-w8sxz,linkerd-init,0.0
23,0,api-gateway,api-gateway-6bf76d45b7-xb8jl,linkerd-init,0.0
24,0,api-gateway,api-gateway-6bf76d45b7-xb8jl,linkerd-proxy,354.177
25,0,orchestrator,orchestrator-555f7b7c9d-pcjww,linkerd-proxy,337.302
26,0,orchestrator,policy-enforcer-cb8dccbd8-w8sxz,linkerd-proxy,337.353
27,0,client6,client6-785d875985-n5kwk,linkerd-init,0.0
28,0,client6,client6-785d875985-n5kwk,sidecar,559.2629999999999
29,0,client6,client6-785d875985-n5kwk,linkerd-proxy,678.7170000000001
30,0,client6,client6-785d875985-n5kwk,client6,679.128
31,0,client4,client4-744474fb99-d258q,linkerd-proxy,654.498
32,0,client4,client4-744474fb99-d258q,client4,654.636
33,0,client4,client4-744474fb99-d258q,sidecar,653.1990000000001
34,0,client4,client4-744474fb99-d258q,linkerd-init,0.0
35,0,client17,client17-69b85b5ccf-p5kqk,client17,608.7750000000001
36,0,client17,client17-69b85b5ccf-p5kqk,sidecar,537.915
37,0,client17,client17-69b85b5ccf-p5kqk,linkerd-proxy,604.881
38,0,client17,client17-69b85b5ccf-p5kqk,linkerd-init,0.0
39,0,client15,client15-79c969ddf-sbfnn,client15,706.5029999999999
40,0,client15,client15-79c969ddf-sbfnn,sidecar,704.9639999999999
41,0,client15,client15-79c969ddf-sbfnn,linkerd-proxy,706.2270000000001
42,0,client15,client15-79c969ddf-sbfnn,linkerd-init,0.0
43,0,client9,client9-d68fb99b4-sl4rf,sidecar,588.348
44,0,client9,client9-d68fb99b4-sl4rf,client9,651.6300000000001
45,0,client9,client9-d68fb99b4-sl4rf,linkerd-proxy,647.076
46,0,client9,client9-d68fb99b4-sl4rf,linkerd-init,0.0
47,0,client5,client5-7d5ff7f8b4-7v6z5,sidecar,506.9309999999999
48,0,client5,client5-7d5ff7f8b4-7v6z5,linkerd-init,0.0
49,0,client5,client5-7d5ff7f8b4-7v6z5,client5,615.357
50,0,client5,client5-7d5ff7f8b4-7v6z5,linkerd-proxy,610.875
51,0,client12,client12-79bc8d5846-7l7dt,client12,677.3729999999999
52,0,client12,client12-79bc8d5846-7l7dt,sidecar,675.1470000000002
53,0,client12,client12-79bc8d5846-7l7dt,linkerd-init,0.0
54,0,client12,client12-79bc8d5846-7l7dt,linkerd-proxy,677.3430000000001
55,0,client16,client16-6dc7f87f54-h457b,client16,750.3000000000001
56,0,client16,client16-6dc7f87f54-h457b,linkerd-proxy,750.1320000000002
57,0,client16,client16-6dc7f87f54-h457b,sidecar,748.9140000000001
58,0,client16,client16-6dc7f87f54-h457b,linkerd-init,0.0
59,0,client2,client2-86cd6d8cf7-vpq47,client2,690.885
60,0,client2,client2-86cd6d8cf7-vpq47,linkerd-proxy,690.75
61,0,client2,client2-86cd6d8cf7-vpq47,sidecar,689.193
62,0,client2,client2-86cd6d8cf7-vpq47,linkerd-init,0.0
63,0,client3,client3-58c68898cd-xsb44,linkerd-proxy,688.605
64,0,client3,client3-58c68898cd-xsb44,client3,688.7850000000001
65,0,client3,client3-58c68898cd-xsb44,sidecar,686.625
66,0,client3,client3-58c68898cd-xsb44,linkerd-init,0.0
67,0,client18,client18-69db77c748-mr29n,sidecar,791.73
68,0,client18,client18-69db77c748-mr29n,client18,793.2420000000002
69,0,client18,client18-69db77c748-mr29n,linkerd-init,0.0
70,0,client18,client18-69db77c748-mr29n,linkerd-proxy,793.0680000000002
71,0,client7,client7-544486cc98-lxlkm,sidecar,702.9720000000001
72,0,client7,client7-544486cc98-lxlkm,client7,704.355
73,0,client7,client7-544486cc98-lxlkm,linkerd-init,0.0
74,0,client7,client7-544486cc98-lxlkm,linkerd-proxy,704.1089999999999
75,0,client11,client11-565c48c7c7-v4slg,sidecar,678.1890000000001
76,0,client11,client11-565c48c7c7-v4slg,client11,679.8810000000001
77,0,client11,client11-565c48c7c7-v4slg,linkerd-proxy,679.6410000000001
78,0,client11,client11-565c48c7c7-v4slg,linkerd-init,0.0
79,0,client19,client19-56fccdb4d9-scn26,client19,827.4000000000001
80,0,client19,client19-56fccdb4d9-scn26,sidecar,825.246
81,0,client19,client19-56fccdb4d9-scn26,linkerd-proxy,827.2470000000001
82,0,client1,client1-7b9db886dd-z5b99,client1,753.057
83,0,client1,client1-7b9db886dd-z5b99,sidecar,717.939
84,0,client1,client1-7b9db886dd-z5b99,linkerd-proxy,750.2850000000001
85,0,client13,client13-7bf86f4f87-cqlnd,linkerd-proxy,730.023
86,0,client13,client13-7bf86f4f87-cqlnd,sidecar,531.654
87,0,client13,client13-7bf86f4f87-cqlnd,client13,737.1480000000001
88,0,server,server-656f98b57f-b2lrt,server,617.115
89,0,server,server-656f98b57f-b2lrt,sidecar,512.931
90,0,api-gateway,api-gateway-6bf76d45b7-xb8jl,api-gateway,351.111
91,0,orchestrator,policy-enforcer-cb8dccbd8-w8sxz,policy-enforcer,242.529
92,0,orchestrator,orchestrator-555f7b7c9d-pcjww,sidecar,229.197
93,0,api-gateway,api-gateway-6bf76d45b7-xb8jl,sidecar,289.155
94,0,orchestrator,policy-enforcer-cb8dccbd8-w8sxz,sidecar,313.359
95,0,orchestrator,orchestrator-555f7b7c9d-pcjww,orchestrator,184.95900000000006
96,0,server,maurits-dijk-85c78d96server1-mndc7,hfl-train-model,917.7990000000001
97,0,server,maurits-dijk-85c78d96server1-mndc7,hfl-train,617.511
98,0,server,maurits-dijk-85c78d96server1-mndc7,sidecar,493.73400000000004
99,0,client17,maurits-dijk-85c78d96client171-6w6gg,hfl-train-model,602.046
100,0,client17,maurits-dijk-85c78d96client171-6w6gg,sidecar,492.42300000000006
101,0,client17,maurits-dijk-85c78d96client171-6w6gg,hfl-train,683.1179999999999
102,0,client9,maurits-dijk-85c78d96client91-7qjrt,hfl-train,827.307
103,0,client9,maurits-dijk-85c78d96client91-7qjrt,hfl-train-model,641.865
104,0,client9,maurits-dijk-85c78d96client91-7qjrt,sidecar,409.416
105,0,client5,maurits-dijk-85c78d96client51-ll75z,sidecar,496.16100000000006
106,0,client5,maurits-dijk-85c78d96client51-ll75z,hfl-train,693.7740000000001
107,0,client5,maurits-dijk-85c78d96client51-ll75z,hfl-train-model,608.148
108,0,client1,maurits-dijk-85c78d96client11-vfg46,sidecar,576.834
109,0,client1,maurits-dijk-85c78d96client11-vfg46,hfl-train-model,792.282
110,0,client1,maurits-dijk-85c78d96client11-vfg46,hfl-train,982.1790000000001
111,0,client13,maurits-dijk-85c78d96client131-z96f6,hfl-train-model,801.378
112,0,client13,maurits-dijk-85c78d96client131-z96f6,hfl-train,1059.432
113,0,client13,maurits-dijk-85c78d96client131-z96f6,sidecar,589.4069999999999
114,1,client19,client19-56fccdb4d9-scn26,linkerd-init,0.0
115,1,client1,client1-7b9db886dd-z5b99,linkerd-init,0.0
116,1,client13,client13-7bf86f4f87-cqlnd,linkerd-init,0.0
117,1,client20,client20-65f8864f77-kmczv,client20,750.8009999999999
118,1,client20,client20-65f8864f77-kmczv,linkerd-init,0.0
119,1,client20,client20-65f8864f77-kmczv,linkerd-proxy,750.5820000000001
120,1,client20,client20-65f8864f77-kmczv,sidecar,668.9370000000001
121,1,server,server-656f98b57f-b2lrt,linkerd-proxy,451.7099999999999
122,1,server,server-656f98b57f-b2lrt,linkerd-init,0.0
123,1,client8,client8-5845965f99-5lvrx,sidecar,618.498
124,1,client8,client8-5845965f99-5lvrx,linkerd-init,0.0
125,1,client8,client8-5845965f99-5lvrx,client8,688.194
126,1,client8,client8-5845965f99-5lvrx,linkerd-proxy,687.8520000000001
127,1,client14,client14-856b5b5576-6zzv4,linkerd-init,0.0
128,1,client14,client14-856b5b5576-6zzv4,sidecar,746.2589999999998
129,1,client14,client14-856b5b5576-6zzv4,client14,747.891
130,1,client14,client14-856b5b5576-6zzv4,linkerd-proxy,747.702
131,1,client10,client10-694b6b97b4-4vrdx,client10,687.4379999999999
132,1,client10,client10-694b6b97b4-4vrdx,linkerd-init,0.0
133,1,client10,client10-694b6b97b4-4vrdx,linkerd-proxy,687.2429999999999
134,1,client10,client10-694b6b97b4-4vrdx,sidecar,684.963
135,1,orchestrator,orchestrator-555f7b7c9d-pcjww,linkerd-init,0.0
136,1,orchestrator,policy-enforcer-cb8dccbd8-w8sxz,linkerd-init,0.0
137,1,api-gateway,api-gateway-6bf76d45b7-xb8jl,linkerd-init,0.0
138,1,api-gateway,api-gateway-6bf76d45b7-xb8jl,linkerd-proxy,429.09599999999995
139,1,orchestrator,orchestrator-555f7b7c9d-pcjww,linkerd-proxy,410.51099999999997
140,1,orchestrator,policy-enforcer-cb8dccbd8-w8sxz,linkerd-proxy,410.47499999999997
141,1,client6,client6-785d875985-n5kwk,linkerd-init,0.0
142,1,client6,client6-785d875985-n5kwk,sidecar,708.2940000000002
143,1,client6,client6-785d875985-n5kwk,linkerd-proxy,788.601
