Round,ClientID,ClientAccuracy,ClientTrainingTime
0,client5,0.1089588377723971,847.1111299004406
0,client17,0.1361323155216285,692.8177669178694
0,client13,0.13481756338899195,877.5031769182533
0,client1,0.14588528678304238,761.1258288379759
0,client9,0.10644768856447688,735.3174260351807
1,client5,0.13317191283292978,744.4305249955505
1,client17,0.13931297709923665,625.4083749372512
1,client13,0.14594928880643165,840.5675538815558
1,client1,0.11221945137157108,650.740941055119
1,client9,0.18369829683698297,694.7524161078036
2,client5,0.13983050847457626,775.8809740189463
2,client17,0.15458015267175573,654.9036439973861
2,client13,0.14471243042671614,823.007303988561
2,client1,0.13216957605985039,718.8351249787956
2,client9,0.15450121654501217,693.0992479901761
3,client5,0.20944309927360774,720.0917869340628
3,client17,0.1984732824427481,645.5574899446219
3,client13,0.18985776128633272,834.5351188909262
3,client1,0.20635910224438903,635.3475290816277
3,client9,0.2615571776155718,681.710208998993
4,client5,0.26150121065375304,730.594847118482
4,client17,0.2410941475826972,659.2764109373093
4,client13,0.23809523809523808,843.6557101085782
4,client1,0.3048628428927681,646.0089078173041
4,client9,0.2779805352798054,670.7420758903027
5,client5,0.32990314769975787,732.142583001405
5,client17,0.1876590330788804,622.8396769147366
5,client13,0.2696351267779839,871.4429449755698
5,client1,0.35910224438902744,660.7445999979973
5,client9,0.3254257907542579,748.0804880615324
6,client5,0.2899515738498789,722.5313691888005
6,client17,0.27735368956743,652.8556798584759
6,client13,0.354978354978355,846.0894748568535
6,client1,0.39089775561097256,713.3945350069553
6,client9,0.3564476885644769,693.2253257837147
7,client5,0.4134382566585956,764.422815060243
7,client17,0.4541984732824427,638.0340170580894
7,client13,0.3469387755102041,870.3847960568964
7,client1,0.49625935162094764,648.673736024648
7,client9,0.41788321167883213,661.0600950662047
8,client5,0.4297820823244552,750.974239083007
8,client17,0.38040712468193383,688.169876113534
8,client13,0.41805813234384664,841.5009719319642
8,client1,0.5043640897755611,633.4243679884821
8,client9,0.48661800486618007,664.0612529590726
9,client5,0.4533898305084746,870.4474961850792
9,client17,0.48346055979643765,636.475543025881
9,client13,0.5534941249226963,813.3545750752091
9,client1,0.5024937655860349,642.4087688792497
9,client9,0.46654501216545013,763.1630918476731
10,client5,0.5018159806295399,748.3460090588778
10,client17,0.5146310432569975,704.1662149131298
10,client13,0.5374149659863946,816.4789588190615
10,client1,0.6265586034912718,633.5868898313493
10,client9,0.5054744525547445,674.7694828081876
11,client5,0.5520581113801453,756.0084720607847
11,client17,0.5470737913486005,635.4789070319384
11,client13,0.5875077303648732,833.547366084531
11,client1,0.6159600997506235,634.6549428999424
11,client9,0.5158150851581509,767.7188299130648
12,client5,0.572639225181598,783.701041014865
12,client17,0.5712468193384224,721.014600014314
12,client13,0.5955473098330241,836.5217470563948
12,client1,0.5847880299251871,621.2546911556274
12,client9,0.5675182481751825,673.6650241073221
