Unnamed: 0,GlobalAccuracy,AggregationTime,TotalTrainingTime,RoundDuration,K,Z,sigma_ed,sigma_iid,timestamp
0,0.1505070682237246,658.2968840375543,12351.990329218095,154289833941,5,100,1000.0,10,18-03-26-133632
1,0.2498079287031346,585.937206982635,10687.464093789458,154035262613,5,100,1000.0,10,18-03-26-133632
2,0.3657805777504609,495.5359899904579,10578.09726987034,154895375506,5,100,1000.0,10,18-03-26-133632
3,0.4875537799631223,491.3154740352184,10717.959771165624,152289902848,5,100,1000.0,10,18-03-26-133632
4,0.521819299323909,509.34276601765305,11020.600765012205,155000291066,5,100,1000.0,10,18-03-26-133632
5,0.5502074370006146,485.48299993854016,11186.997563927434,152594807922,5,100,1000.0,10,18-03-26-133632
6,0.5815150583896742,493.69761697016656,11162.306359852664,153846905045,5,100,1000.0,10,18-03-26-133632
7,0.609480639213276,484.0158509323373,11151.552651892416,154856698477,5,100,1000.0,10,18-03-26-133632
8,0.6173171481253842,501.02652003988624,10710.31057613436,153770599788,5,100,1000.0,10,18-03-26-133632
9,0.5626920712968654,490.0691460352391,11164.247640874237,156104738241,5,100,1000.0,10,18-03-26-133632
10,0.4253226797787339,526.1048190295696,10605.674876831472,153758740369,5,100,1000.0,10,18-03-26-133632
11,0.2905654578979717,509.5732950139791,10977.60353225749,155936143914,5,100,1000.0,10,18-03-26-133632
12,0.2851490473263675,508.5347659187392,11265.87802101858,153971270607,5,100,1000.0,10,18-03-26-133632
13,0.3580977258758451,498.5340499551967,11212.92011498008,155026389669,5,100,1000.0,10,18-03-26-133632
14,0.5498617086662569,537.9699219483882,11217.512794071808,154729567942,5,100,1000.0,10,18-03-26-133632
15,0.5927704363859865,539.0805409988388,10807.891256990844,152876356222,5,100,1000.0,10,18-03-26-133632
16,0.6062922556853104,454.65776801574975,10573.706171824597,154912428446,5,100,1000.0,10,18-03-26-133632
17,0.6266133988936693,488.55947295669466,10867.609868058937,152791457278,5,100,1000.0,10,18-03-26-133632
18,0.6225030731407498,560.9573209658265,11458.431228180416,155502810265,5,100,1000.0,10,18-03-26-133632
19,0.6328365089121082,504.90135699510574,10779.6385550173,153722248275,5,100,1000.0,10,18-03-26-133632
20,0.6217732022126613,501.8232669681311,10724.28552992642,156105944571,5,100,1000.0,10,18-03-26-133632
21,0.6563076213890596,520.597574999556,11280.894543975592,154163997532,5,100,1000.0,10,18-03-26-133632
22,0.6630685310387215,520.6236359663308,10577.965470263734,161166147086,5,100,1000.0,10,18-03-26-133632
23,0.6694068838352797,510.5210980400443,10922.844124143012,154471791738,5,100,1000.0,10,18-03-26-133632
24,0.6788952059004303,495.2843500068411,10270.270288921893,154052320789,5,100,1000.0,10,18-03-26-133632
0,0.3745774431468961,586.8349649244919,25077.753035118803,169638899980,5,100,1.7,10,18-03-26-170348
1,0.5693761524277812,561.982424929738,21712.89432607591,167045128694,5,100,1.7,10,18-03-26-170348
2,0.638560233558697,511.33180991746485,23852.09704109002,168793063892,5,100,1.7,10,18-03-26-170348
3,0.3989704978488014,503.91858897637576,21377.87308881525,166533103791,5,100,1.7,10,18-03-26-170348
4,0.6807775046097111,541.2483309628442,23341.56293713022,168100609556,5,100,1.7,10,18-03-26-170348
5,0.7181161647203442,530.5832569720224,22685.48817990813,170029896147,5,100,1.7,10,18-03-26-170348
6,0.6864244007375537,489.2054960364476,23843.57714292128,171368039258,5,100,1.7,10,18-03-26-170348
7,0.6627228027043639,522.0065370667726,23798.871011123996,169340506563,5,100,1.7,10,18-03-26-170348
8,0.6834665027658267,504.31998900603503,22848.0368378805,168630960287,5,100,1.7,10,18-03-26-170348
9,0.7036339889366933,478.8698800839484,23625.71054312866,169715181709,5,100,1.7,10,18-03-26-170348
10,0.7028657037492317,491.6290810797364,24206.369108054787,170210621749,5,100,1.7,10,18-03-26-170348
11,0.6912261831591887,419.1623739898205,23282.534796861,170711830902,5,100,1.7,10,18-03-26-170348
