,GlobalAccuracy,AggregationTime,TotalTrainingTime,RoundDuration
0,0.16037953288260604,713.9369030483067,13142.261296277866,156029714856
1,0.26644130301167795,501.79606792517006,12418.030151398852,154903107219
2,0.4445682237246466,553.844285197556,12173.762196209282,155583414089
3,0.536839274738783,521.0597389377654,12812.070812098682,154811465817
4,0.5717962507682852,526.1563579551876,12237.297574291006,156754789197
5,0.5971112476951445,528.7616760469973,12362.65535093844,153850275647
6,0.5934618930547019,519.2156969569623,12517.214588122442,155796461670
7,0.586240012292563,540.1253281161189,12845.160595374182,153975778085
8,0.4389981561155501,488.81060304120183,12431.746290065348,154640634799
9,0.26087123540258145,532.9856860917062,12317.43536121212,154576821034
10,0.29402274124154887,507.8884761314839,12523.883991874754,154264637411
11,0.432160417947142,552.4569728877395,12976.934169884771,156025082859
12,0.5648816840811309,555.9166111052036,12317.01392866671,154812933864
13,0.607521511985249,537.2488680295646,12336.987023241818,155576327861
14,0.6231177012907191,491.5351280942559,12251.255551120266,155168238166
15,0.6220805162876459,513.7678210157901,11952.938444213942,153397280646
16,0.6439382298709281,522.0208920072764,12297.401102958247,155487636500
17,0.6516979102642901,506.8084769882262,12241.168093169108,153648200223
18,0.6678703134603565,525.0460128299892,12550.522305071354,154747377374
19,0.6592271051014137,563.053852878511,12522.756935330108,153958593153
20,0.6801628764597418,512.8422800917178,12313.975680852309,155385441849
21,0.692801167793485,528.9029418490827,12345.733383204788,156564758587
22,0.6883066994468346,525.0846431590617,12949.328107060865,154144632387
23,0.6999846342962508,489.9846659973264,12462.16075331904,154787278289
24,0.701060233558697,507.7078239992261,12577.685148920864,154062980149
