K,Z,total_energy_J,total_energy_kJ,samples_per_partition,partition_size_mb,data_to_model_ratio,total_samples_processed,energy_per_sample_J,energy_per_1k_samples_kJ,GlobalAccuracy
5,15,1609448.9507742529,1609.4489507742528,35408.666666666664,103.736328125,17.00595543032787,177043.3333333333,9.090706328625307,9.090706328625307,0.7813076213890596
5,30,1515975.3369996997,1515.9753369996997,17704.333333333332,51.8681640625,8.502977715163935,88521.66666666666,17.12547214805829,17.12547214805829,0.7440073755377996
5,60,1475225.324672922,1475.225324672922,8852.166666666666,25.93408203125,4.251488857581967,44260.83333333333,33.33026546434031,33.33026546434031,0.5612323294406883
5,90,1442339.445886986,1442.3394458869861,5901.444444444444,17.289388020833332,2.8343259050546448,29507.222222222223,48.88089549821277,48.88089549821277,0.7089351567301783
5,120,1433150.1280404772,1433.150128040477,4426.083333333333,12.967041015625,2.1257444287909837,22130.416666666664,64.75929258933115,64.75929258933115,0.6727489244007375
5,150,1433498.1433109252,1433.4981433109251,3540.866666666667,10.3736328125,1.700595543032787,17704.333333333336,80.96877280388559,80.96877280388559,0.664681929932391
5,190,1434518.215129503,1434.518215129503,2795.4210526315787,8.189710115131579,1.342575428710095,13977.105263157893,102.63342717398965,102.63342717398965,0.5672633681622619
5,230,1427552.3569967272,1427.5523569967272,2309.2608695652175,6.765412703804348,1.1090840498039916,11546.304347826088,123.63716683646084,123.63716683646084,0.4177934849416103
5,260,1421212.872459035,1421.212872459035,2042.8076923076924,5.9847881610576925,0.9811128132881464,10214.038461538461,139.14308995513306,139.14308995513306,0.4088045482483097
5,300,1420939.1449323585,1420.9391449323584,1770.4333333333334,5.18681640625,0.8502977715163935,8852.166666666668,160.51879708534915,160.51879708534915,0.5751382913337431
5,330,714936.0684599149,714.9360684599148,1609.4848484848485,4.715287642045455,0.7729979741058124,8047.424242424242,88.84036021003216,88.84036021003216,0.5278119237861094
5,400,1422913.8775407576,1422.9138775407575,1327.825,3.8901123046875004,0.6377233286372952,6639.125,214.32250146529213,214.32250146529213,0.5889290104486785
