K,Z,total_kJ,energy_per_round_kJ,energy_per_client_kJ,energy_per_sample_J
5,90,1442.3394458869864,57.69357783547945,288.4678891773973,48.88089549821278
5,120,1433.1501280404775,57.3260051216191,286.6300256080955,64.75929258933117
10,90,1738.2211213601759,69.52884485440704,173.82211213601758,29.454163937720676
10,120,1534.3974540476668,61.37589816190667,153.43974540476668,34.66716142671663
