K,Z,energy_per_1k_rows_J,energy_per_sample_J,energy_per_round_kJ,energy_per_client_kJ
5,15,9090.706328625307,9.090706328625307,64.3779580309701,16.941567902886874
5,30,17125.47214805829,17.12547214805829,60.63901347998799,15.95763512631263
5,60,33330.26546434031,33.33026546434031,59.00901298691688,15.528687628136021
5,90,48880.895498212776,48.88089549821277,57.693577835479445,15.182520483020905
5,120,64759.292589331155,64.75929258933115,57.32600512161908,15.085790821478708
5,150,80968.77280388559,80.96877280388559,57.33992573243701,15.089454140115002
5,190,102633.42717398965,102.63342717398965,57.38072860518012,15.100191738205297
5,230,123637.16683646083,123.63716683646084,57.102094279869085,15.026866915755024
5,260,139143.08995513307,139.14308995513306,56.8485148983614,14.96013549956879
5,300,160518.79708534916,160.51879708534915,56.837565797294346,14.957254157182721
5,330,88840.36021003216,88.84036021003216,54.99508218922422,7.525642825893842
5,400,214322.50146529212,214.32250146529213,56.91655510163031,14.9780408162185
10,30,10367.448135375773,10.367448135375772,73.41950304189511,16.686250691339797
10,90,29454.163937720674,29.454163937720676,69.52884485440703,15.802010194183417
10,120,34667.16142671662,34.667161426716625,61.37589816190666,13.949067764069696
10,150,779.5100381019175,0.7795100381019175,27.601411102471435,0.2679748650725382
10,190,61195.56814190001,61.19556814190001,68.42695180464705,15.551579955601603
10,230,73870.39915083384,73.87039915083383,68.2344088712737,15.50782019801675
10,260,82828.75146890855,82.82875146890855,67.68128425797138,15.38211005862986
10,300,95810.55179656991,95.81055179656991,67.85047783428291,15.420563144155206
10,360,114488.1007801721,114.4881007801721,67.56451663041423,15.355571961457779
10,400,127414.83585960403,127.41483585960404,67.6738417701115,15.380418584116248
