K,Z,total_client_energy_J,num_clients,samples_per_partition,partition_size_mb,data_to_model_ratio,energy_per_client_kJ,total_samples,energy_per_sample_J,energy_per_1k_samples_kJ
5,15,1456253.5819065692,20.0,35408.666666666664,103.736328125,17.00595543032787,72.81267909532846,177043.3333333333,8.225407613427425,8.225407613427425
5,30,1365924.034636849,20.0,17704.333333333332,51.8681640625,8.502977715163935,68.29620173184244,88521.66666666666,15.430392197430187,15.430392197430187
5,60,1326920.3077623732,20.0,8852.166666666666,25.93408203125,4.251488857581967,66.34601538811866,44260.83333333333,29.97955998182833,29.97955998182833
5,90,1297418.579697547,20.0,5901.444444444444,17.289388020833332,2.8343259050546448,64.87092898487735,29507.222222222223,43.96952616978112,43.96952616978112
5,120,1287264.2446342274,20.0,4426.083333333333,12.967041015625,2.1257444287909837,64.36321223171137,22130.416666666664,58.16719422970169,58.16719422970169
5,150,1284736.623853894,20.0,3540.866666666667,10.3736328125,1.700595543032787,64.2368311926947,17704.333333333336,72.56622430594547,72.56622430594547
5,190,1288057.883432628,20.0,2795.4210526315787,8.189710115131579,1.342575428710095,64.40289417163139,13977.105263157893,92.15483887266745,92.15483887266745
5,230,1281851.2355952754,20.0,2309.2608695652175,6.765412703804348,1.1090840498039916,64.09256177976377,11546.304347826088,111.01831347764703,111.01831347764703
5,260,1276243.022592893,20.0,2042.8076923076924,5.9847881610576925,0.9811128132881464,63.812151129644654,10214.038461538461,124.9498939521971,124.9498939521971
5,300,1275231.4273968504,20.0,1770.4333333333334,5.18681640625,0.8502977715163935,63.76157136984252,8852.166666666668,144.05867799561503,144.05867799561503
5,330,641614.3228970118,20.0,1609.4848484848485,4.715287642045455,0.7729979741058124,32.080716144850584,8047.424242424242,79.72915352400123,79.72915352400123
5,400,1276786.8670891952,20.0,1327.825,3.8901123046875004,0.6377233286372952,63.83934335445976,6639.125,192.31252116644816,192.31252116644816
10,30,1672563.7205474717,20.0,17704.333333333332,51.8681640625,8.502977715163935,83.62818602737357,177043.3333333333,9.447199671723336,9.447199671723336
10,90,1583852.260913255,20.0,5901.444444444444,17.289388020833332,2.8343259050546448,79.19261304566274,59014.444444444445,26.838382972566592,26.838382972566592
10,120,1395164.7892995237,20.0,4426.083333333333,12.967041015625,2.1257444287909837,69.75823946497619,44260.83333333333,31.52143066969346,31.52143066969346
10,150,25169.252852471433,19.0,3540.866666666667,10.3736328125,1.700595543032787,1.324697518551128,35408.66666666667,0.7108218191159819,0.7108218191159819
10,190,1552589.650443609,20.0,2795.4210526315787,8.189710115131579,1.342575428710095,77.62948252218045,27954.210526315786,55.54045781339517,55.54045781339517
10,230,1553616.6150683872,20.0,2309.2608695652175,6.765412703804348,1.1090840498039916,77.68083075341936,23092.608695652176,67.27765734673791,67.27765734673791
10,260,1533978.8423149863,20.0,2042.8076923076924,5.9847881610576925,0.9811128132881464,76.69894211574932,20428.076923076922,75.09169111176105,75.09169111176105
10,300,1541148.6959620984,20.0,1770.4333333333334,5.18681640625,0.8502977715163935,77.05743479810492,17704.333333333336,87.04923630535453,87.04923630535453
10,360,1531071.544740345,20.0,1475.361111111111,4.322347005208333,0.7085814762636612,76.55357723701725,14753.611111111111,103.77605409344685,103.77605409344685
10,400,1536039.6283129414,20.0,1327.825,3.8901123046875004,0.6377233286372952,76.80198141564706,13278.25,115.68087875382233,115.68087875382233
