K,Z,TotalTrainingTime_sec,ms_per_sample,AggregationTime,total_time_sec
5,15,72.32179893871769,0.4084977252577582,523.1502780783921,1821.1237304199021
5,30,36.90823052649386,0.41694007711664416,515.7047110423446,935.5983809384052
5,60,18.36174728311598,0.41485317605368144,537.1538678742945,472.47252877475694
5,90,12.450122955162078,0.42193476774597066,524.0823896043003,324.35513361915946
5,120,9.561893883105368,0.43207021481469476,502.01185184530914,251.5976433737669
5,150,7.771463819453492,0.43895828626438865,523.6366911698133,207.37751276558265
5,190,6.021279384084046,0.430795881601856,528.4270469844341,163.742660776712
5,230,5.104212634926662,0.44206461922057955,532.292276090011,140.91262277541682
5,260,4.621567923156545,0.45247214806947517,530.4227314330637,128.7997663647402
5,300,4.013859538165852,0.45343244081477435,530.4755514115095,113.60837723943405
5,330,3.63029515515798,0.45111268472958915,521.8043599564296,53.97729369648732
5,400,3.0406367458868773,0.4579875730441703,511.10329907387495,88.7935011240188
10,30,76.4054373551067,0.4315634817564817,1068.3793994784355,1936.8454188646283
10,90,25.022568147731945,0.4240075185540028,1102.4799016024917,653.1262012333609
10,120,15.779827959127724,0.3565189981916531,927.2043117135763,417.6758067710325
10,150,15.989370842464268,0.4515665894168358,1247.875859029591,17.23724670149386
10,190,12.256545881899074,0.4384507968973367,1099.2203160002828,333.8941549474839
10,230,10.241288356212898,0.4434877190008033,1048.8193312101066,282.25269218557514
10,260,8.969036270128562,0.43905436149971316,1077.1986744366586,251.15587361413054
10,300,8.069426037343218,0.45578818955867023,1075.3514012601227,228.61943596508354
10,360,6.726646877489984,0.45593223427341595,1066.2812718376517,194.8232037331909
10,400,6.130186193855479,0.4616712438653798,1110.9719860181212,181.02895449684002
