experiment,clients,rounds,GlobalAccuracy,TotalTrainingTime,AggregationTime,RoundDuration,avg_client_accuracy_std,total_energy_joules
C5_R20_small_26-01-26-105255_small,5,20,0.58449,490.0033470185008,15.193115978036076,641993886,0.02537773967425221,16432.77711062284
C5_R20_small_26-01-26-110221_small,5,20,0.58956,475.65452195703983,16.635284991934896,607045352,0.02262093126037534,15493.2981935
C5_R20_small_26-01-26-105738_small,5,20,0.56037,461.35197998955846,16.577069007325917,590966719,0.024677914637234025,16351.854469900001
C5_R40_small_26-01-26-111637_small,5,40,0.5821,451.62184996297583,13.51923801121302,609055711,0.025369128960425417,18074.6450737
C5_R40_small_26-01-26-110707_small,5,40,0.56997,469.0950829826761,15.239906992064787,597369529,0.023001609054734244,18046.7890558
C5_R40_small_26-01-26-111150_small,5,40,0.59737,472.19343500910327,14.720705978106707,626049947,0.024497129246399366,17660.455661300002
C5_R60_small_26-01-26-112608_small,5,60,0.59567,470.8004290005192,18.91629400779493,618977542,0.026336006681754655,18897.7302008
C5_R60_small_26-01-26-112122_small,5,60,0.59421,475.87817601743154,15.605905005941167,623274671,0.026974032403718293,21100.421936591207
C5_R60_small_26-01-26-113054_small,5,60,0.59725,505.83494003512897,17.138116993010044,683511817,0.02515465444470712,20274.1710879
C10_R20_small_26-01-26-114223_small,10,20,0.59427,1064.0940700250212,15.281981002772229,6548329672,0.02306695546794325,56570.92527198462
C10_R20_small_26-01-26-113539_small,10,20,0.59655,1018.4214309265373,15.834071004064754,6507674552,0.02352285570502156,57947.90175
C10_R20_small_26-01-26-114905_small,10,20,0.59309,1068.0220730719157,13.972045999253169,6556896519,0.021989744204808287,56637.79449166666
C10_R40_small_26-01-26-115548_small,10,40,0.59097,1046.160399011569,16.717819002224132,15393234634,0.02200651440987954,96168.02875238095
C10_R40_small_26-01-26-120433_small,10,40,0.58058,1084.6928209648468,11.876178003149109,6554001561,0.02195365815097758,112643.45923439872
C10_R40_small_26-01-26-121316_small,10,40,0.59597,1044.5211299520452,15.913943003397437,6620659271,0.022340783193199366,116823.12263333333
C10_R60_small_26-01-26-123345_small,10,60,0.59901,1051.8071650003549,12.552341999253258,6539449420,0.020757964329155495,173972.19172820513
C10_R60_small_26-01-26-122201_small,10,60,0.58997,1072.1071700390894,14.601197995943949,6642000962,0.020801646205465023,174947.5691851756
C10_R60_small_26-01-26-124528_small,10,60,0.59842,1014.2695059766992,15.903905994491652,6558642900,0.020077812862251698,173643.39935384615
C15_R20_small_26-01-26-125711_small,15,20,0.59424,1898.029051022604,15.030033013317734,6660094578,0.022035414782997177,66044.504575
C15_R20_small_26-01-26-130354_small,15,20,0.59452,2030.284714186564,17.26315700216219,6703300617,0.021738187790038877,67690.79295
C15_R20_small_26-01-26-131037_small,15,20,0.59456,1989.5095519605093,15.128938015550377,6599297980,0.02313155594845699,65173.02254738432
C15_R40_small_26-01-26-132602_small,15,40,0.59951,1959.469374967739,8.496719994582236,6658756448,0.02472064202205205,133538.03358472223
C15_R40_small_26-01-26-131718_small,15,40,0.58574,2006.9240620359776,11.440681002568454,6618237867,0.023822968096269003,135822.41548092352
C15_R40_small_26-01-26-133545_small,15,40,0.59216,2053.143188066315,18.70269502978772,6655725500,0.019617484384418873,136151.01621388888
C15_R60_small_26-01-26-134529_small,15,60,0.59724,2003.7037830916236,14.120359031949192,6757985699,0.02055077287812651,202259.5164296703
C15_R60_small_26-01-26-135713_small,15,60,0.59423,1890.132776054088,16.507621039636433,6668261453,0.021662811627208862,53113.004
C15_R60_small_26-01-26-140357_small,15,60,0.598,2004.0936750010587,15.041247010231018,6669784669,0.018870144229588492,202105.5702249491
