GlobalAccuracy,AggregationTime,TotalTrainingTime,RoundDuration,clients,rounds,timestamp,experiment
0.5091,15.114083013031632,2012.429830036126,6614277417,15,20,small,C15_R20_small_26-01-26-125711_small
0.52577,9.871846006717533,2026.685825898312,6603536597,15,20,small,C15_R20_small_26-01-26-125711_small
0.54519,15.304411004763097,1987.7877649851143,8516173703,15,20,small,C15_R20_small_26-01-26-125711_small
0.57106,13.932001020293685,1986.2852609949184,6760846294,15,20,small,C15_R20_small_26-01-26-125711_small
0.56984,16.451116011012346,2014.0115760150368,6721436545,15,20,small,C15_R20_small_26-01-26-125711_small
0.5778,18.344921991229057,1904.819587012753,6734054776,15,20,small,C15_R20_small_26-01-26-125711_small
0.58245,12.37388903973624,1995.9881181130183,6628580371,15,20,small,C15_R20_small_26-01-26-125711_small
0.58667,15.09095897199586,1997.1322430646976,8107405397,15,20,small,C15_R20_small_26-01-26-125711_small
0.58944,16.344043018762022,1975.8199030184187,6593426105,15,20,small,C15_R20_small_26-01-26-125711_small
0.59059,19.39108595252037,2033.3917490206657,6654250132,15,20,small,C15_R20_small_26-01-26-125711_small
0.59133,14.543093973770738,2004.4796188594771,6651306283,15,20,small,C15_R20_small_26-01-26-125711_small
0.59217,14.820537995547056,1994.7734038578344,6652523014,15,20,small,C15_R20_small_26-01-26-125711_small
0.57552,15.5160499853082,1974.2438130779192,7170389796,15,20,small,C15_R20_small_26-01-26-125711_small
0.59377,14.767287007998677,1936.2457692041064,6745292707,15,20,small,C15_R20_small_26-01-26-125711_small
0.59057,12.705525034107268,1963.1063850829375,6689828366,15,20,small,C15_R20_small_26-01-26-125711_small
0.59029,13.995179964695126,1931.478967075236,6602713540,15,20,small,C15_R20_small_26-01-26-125711_small
0.5931,14.83838097192347,2027.2125791525468,6688746483,15,20,small,C15_R20_small_26-01-26-125711_small
0.59278,11.875297001097351,1927.046391996555,7855906299,15,20,small,C15_R20_small_26-01-26-125711_small
0.59351,14.69787600217387,1963.6572459130548,6605041536,15,20,small,C15_R20_small_26-01-26-125711_small
0.59424,15.030033013317734,1898.029051022604,6660094578,15,20,small,C15_R20_small_26-01-26-125711_small
0.47488,27.166059997398406,2029.9812048324384,6769278260,15,20,small,C15_R20_small_26-01-26-130354_small
0.52492,16.347369004506618,1967.0423879288137,6740066530,15,20,small,C15_R20_small_26-01-26-130354_small
0.53061,13.698248018044978,1921.342304034624,7995308326,15,20,small,C15_R20_small_26-01-26-130354_small
0.53497,13.859783008228987,1952.50488986494,6661311436,15,20,small,C15_R20_small_26-01-26-130354_small
0.58348,19.24542000051588,2006.9381959619927,6729185382,15,20,small,C15_R20_small_26-01-26-130354_small
0.5884,16.596599016338587,2031.687211012468,6785850748,15,20,small,C15_R20_small_26-01-26-130354_small
0.58086,16.36541198240593,1976.489988039248,6669411092,15,20,small,C15_R20_small_26-01-26-130354_small
0.58884,16.198748955503106,1947.8548539918847,7959622576,15,20,small,C15_R20_small_26-01-26-130354_small
0.56878,17.01408700319007,2008.4407150861807,6691468297,15,20,small,C15_R20_small_26-01-26-130354_small
0.57645,14.622623042669147,1923.2295529800467,6794662707,15,20,small,C15_R20_small_26-01-26-130354_small
0.57395,14.175658987369388,1904.058356944006,6701132314,15,20,small,C15_R20_small_26-01-26-130354_small
0.5942,15.2853750041686,1919.9431779561564,6707366832,15,20,small,C15_R20_small_26-01-26-130354_small
0.59172,12.156518001575025,1922.3794498248024,8194976329,15,20,small,C15_R20_small_26-01-26-130354_small
0.5941,9.124453004915267,1917.3873378313149,6783164770,15,20,small,C15_R20_small_26-01-26-130354_small
0.59662,16.733777010813355,1958.814053039532,6690688533,15,20,small,C15_R20_small_26-01-26-130354_small
0.59004,17.56353402743116,1953.8497169269249,6702499293,15,20,small,C15_R20_small_26-01-26-130354_small
0.59702,12.721573992166668,1907.1672619902529,6745130296,15,20,small,C15_R20_small_26-01-26-130354_small
0.59751,13.797746039927006,1972.9927261942064,7452764473,15,20,small,C15_R20_small_26-01-26-130354_small
0.59505,14.92465299088508,2073.631516948808,6708040680,15,20,small,C15_R20_small_26-01-26-130354_small
0.59452,17.26315700216219,2030.284714186564,6703300617,15,20,small,C15_R20_small_26-01-26-130354_small
0.48078,16.56225399347022,2053.309832175728,6675536355,15,20,small,C15_R20_small_26-01-26-131037_small
0.52567,19.642969011329114,2025.822942960076,6688940637,15,20,small,C15_R20_small_26-01-26-131037_small
0.53267,15.815443999599664,1931.2590521294624,7649186674,15,20,small,C15_R20_small_26-01-26-131037_small
0.57205,12.196272029541433,2004.7141368850132,6682592028,15,20,small,C15_R20_small_26-01-26-131037_small
0.57344,13.385947968345135,1954.264439933468,6678100005,15,20,small,C15_R20_small_26-01-26-131037_small
0.56488,15.675469010602685,1966.6626050020568,6722254435,15,20,small,C15_R20_small_26-01-26-131037_small
0.58744,15.505710034631193,1941.1160840536468,6729647609,15,20,small,C15_R20_small_26-01-26-131037_small
0.56769,14.747528010047972,1980.0240580225363,7037375041,15,20,small,C15_R20_small_26-01-26-131037_small
0.57821,16.079873021226376,1947.221948008519,6648240851,15,20,small,C15_R20_small_26-01-26-131037_small
0.5931,15.168192039709538,2026.303022110369,6673632533,15,20,small,C15_R20_small_26-01-26-131037_small
0.58987,15.728550963103771,2043.8816150999628,6624034934,15,20,small,C15_R20_small_26-01-26-131037_small
0.59458,13.95367900840938,1964.1123861656524,6698708641,15,20,small,C15_R20_small_26-01-26-131037_small
0.57733,17.077726020943373,1926.2605770491064,7625583993,15,20,small,C15_R20_small_26-01-26-131037_small
0.56412,12.378875981085002,2008.093450043816,6653579810,15,20,small,C15_R20_small_26-01-26-131037_small
0.59539,13.578370970208198,1973.4675670042636,6699888734,15,20,small,C15_R20_small_26-01-26-131037_small
0.58986,16.226740030106157,1988.0393779603764,6606026615,15,20,small,C15_R20_small_26-01-26-131037_small
0.58824,14.437761972658336,1965.084386058152,6631679703,15,20,small,C15_R20_small_26-01-26-131037_small
0.5965,14.97514802031219,1984.077323868405,6981594140,15,20,small,C15_R20_small_26-01-26-131037_small
0.59274,14.27858299575746,1930.1926330663264,6612277463,15,20,small,C15_R20_small_26-01-26-131037_small
0.59456,15.128938015550377,1989.5095519605093,6599297980,15,20,small,C15_R20_small_26-01-26-131037_small
0.50948,18.93861504504457,2007.250260154251,6751572778,15,40,small,C15_R40_small_26-01-26-132602_small
0.55356,18.80028296727687,1958.748252945952,6736267985,15,40,small,C15_R40_small_26-01-26-132602_small
0.57916,13.336688978597522,1931.7535708541984,7664560893,15,40,small,C15_R40_small_26-01-26-132602_small
0.57091,16.613375977613032,1985.07629922824,6627878375,15,40,small,C15_R40_small_26-01-26-132602_small
0.5854,16.17362501565367,1964.8499119794,6677565915,15,40,small,C15_R40_small_26-01-26-132602_small
0.58852,11.989024002104998,1991.715346928686,6642166116,15,40,small,C15_R40_small_26-01-26-132602_small
0.58902,15.583891014102846,2016.8990229722112,6698548370,15,40,small,C15_R40_small_26-01-26-132602_small
0.58486,13.867459958419204,1967.6243529538624,7887618865,15,40,small,C15_R40_small_26-01-26-132602_small
0.56105,15.25915804086253,1947.2624380141497,6683227957,15,40,small,C15_R40_small_26-01-26-132602_small
0.57691,15.26737300446257,1979.7120968578383,6636823858,15,40,small,C15_R40_small_26-01-26-132602_small
0.56582,14.785573992412536,1967.8445579484105,6640764718,15,40,small,C15_R40_small_26-01-26-132602_small
