namespace,pod_name,container_name,joules,clients,rounds,timestamp,experiment
client3,client3-58c68898cd-khcsr,sidecar,565.0962750000001,15,20,small,C15_R20_small_26-01-26-125711_small
client3,client3-58c68898cd-khcsr,client3,568.4838,15,20,small,C15_R20_small_26-01-26-125711_small
client3,client3-58c68898cd-khcsr,linkerd-init,0.0,15,20,small,C15_R20_small_26-01-26-125711_small
client3,client3-58c68898cd-khcsr,linkerd-proxy,566.4921750000001,15,20,small,C15_R20_small_26-01-26-125711_small
client16,client16-6dc7f87f54-qs76j,sidecar,519.7929750000001,15,20,small,C15_R20_small_26-01-26-125711_small
client16,client16-6dc7f87f54-qs76j,client16,523.451925,15,20,small,C15_R20_small_26-01-26-125711_small
client16,client16-6dc7f87f54-qs76j,linkerd-init,0.0,15,20,small,C15_R20_small_26-01-26-125711_small
client16,client16-6dc7f87f54-qs76j,linkerd-proxy,520.977375,15,20,small,C15_R20_small_26-01-26-125711_small
client11,client11-565c48c7c7-l868d,sidecar,597.751875,15,20,small,C15_R20_small_26-01-26-125711_small
client11,client11-565c48c7c7-l868d,linkerd-proxy,599.5848750000001,15,20,small,C15_R20_small_26-01-26-125711_small
client11,client11-565c48c7c7-l868d,linkerd-init,0.0,15,20,small,C15_R20_small_26-01-26-125711_small
client11,client11-565c48c7c7-l868d,client11,602.334375,15,20,small,C15_R20_small_26-01-26-125711_small
orchestrator,orchestrator-555f7b7c9d-cskgr,linkerd-init,0.0,15,20,small,C15_R20_small_26-01-26-125711_small
api-gateway,api-gateway-6bf76d45b7-qvdm8,linkerd-init,0.0,15,20,small,C15_R20_small_26-01-26-125711_small
api-gateway,api-gateway-6bf76d45b7-qvdm8,linkerd-proxy,305.48002500000007,15,20,small,C15_R20_small_26-01-26-125711_small
orchestrator,orchestrator-555f7b7c9d-cskgr,linkerd-proxy,299.261925,15,20,small,C15_R20_small_26-01-26-125711_small
orchestrator,policy-enforcer-cb8dccbd8-2lsrq,linkerd-init,0.0,15,20,small,C15_R20_small_26-01-26-125711_small
orchestrator,policy-enforcer-cb8dccbd8-2lsrq,linkerd-proxy,298.68030000000005,15,20,small,C15_R20_small_26-01-26-125711_small
client15,client15-79c969ddf-8mzt8,client15,576.24585,15,20,small,C15_R20_small_26-01-26-125711_small
client15,client15-79c969ddf-8mzt8,linkerd-proxy,573.1156500000001,15,20,small,C15_R20_small_26-01-26-125711_small
client15,client15-79c969ddf-8mzt8,sidecar,571.5294,15,20,small,C15_R20_small_26-01-26-125711_small
client15,client15-79c969ddf-8mzt8,linkerd-init,0.0,15,20,small,C15_R20_small_26-01-26-125711_small
