Unnamed: 0,GlobalAccuracy,AggregationTime,TotalTrainingTime,RoundDuration,K,Z,sigma_ed,sigma_iid,timestamp
0,0.3880224339274739,656.2324110418558,76280.88144492358,167197097865,5,15,1000.0,10,02-03-26-195944
1,0.4996926859250153,539.8509888909757,73015.01481584273,166177764355,5,15,1000.0,10,02-03-26-195944
2,0.6630301167793485,546.1353939026594,74452.73510715924,166454033188,5,15,1000.0,10,02-03-26-195944
3,0.621120159803319,527.499632909894,70918.72258507647,167037836733,5,15,1000.0,10,02-03-26-195944
4,0.5553933620159803,514.5782011095434,71431.22958485037,166224143961,5,15,1000.0,10,02-03-26-195944
5,0.6793177627535341,554.3232611380517,72968.41492503881,166356276892,5,15,1000.0,10,02-03-26-195944
6,0.7539566687154272,483.2364399917424,72820.46465203166,168552706927,5,15,1000.0,10,02-03-26-195944
7,0.7552627535341119,502.6923269033432,71860.70941598155,167217464956,5,15,1000.0,10,02-03-26-195944
8,0.7498847572218807,519.1614509094507,72446.39174523763,164781540848,5,15,1000.0,10,02-03-26-195944
9,0.6941840811309158,511.6062359884381,71882.07875424996,166479053743,5,15,1000.0,10,02-03-26-195944
10,0.7511140135218193,506.06200005859137,71635.68380870856,167135068666,5,15,1000.0,10,02-03-26-195944
11,0.7672095881991395,514.1734031494707,69833.45601009205,165198277210,5,15,1000.0,10,02-03-26-195944
12,0.7754686539643516,501.2238218914717,71566.28010515124,166319968384,5,15,1000.0,10,02-03-26-195944
13,0.7725875845113707,515.0027610361576,71021.2280859705,166250321671,5,15,1000.0,10,02-03-26-195944
14,0.7100491702519975,544.3115050438792,71325.5339730531,166780151798,5,15,1000.0,10,02-03-26-195944
15,0.7510371850030731,502.8360348660499,71664.11150526255,165590638493,5,15,1000.0,10,02-03-26-195944
16,0.7738936693300553,507.0171840488911,74728.7764349021,167588872627,5,15,1000.0,10,02-03-26-195944
17,0.7832283343577136,494.548198999837,75112.92721284553,165587520885,5,15,1000.0,10,02-03-26-195944
18,0.7868776889981561,520.278612151742,72599.91707280278,168930121605,5,15,1000.0,10,02-03-26-195944
19,0.7791948371235402,527.0168790593743,71249.75896114483,166421285460,5,15,1000.0,10,02-03-26-195944
20,0.7782728948985863,535.8389900065958,72216.74334513955,165732849351,5,15,1000.0,10,02-03-26-195944
21,0.7775430239704979,526.5285049099475,71714.79667793028,166807888585,5,15,1000.0,10,02-03-26-195944
22,0.7930239704978488,505.8401881251484,71694.81636839919,165849856431,5,15,1000.0,10,02-03-26-195944
23,0.7904118008604795,528.5912628751248,71747.52103025094,167060564205,5,15,1000.0,10,02-03-26-195944
24,0.7813076213890596,494.17126295156777,71856.77984589711,164523206349,5,15,1000.0,10,02-03-26-195944
0,0.2964044253226798,705.6813591625541,39869.277886115015,159748450311,5,30,1000.0,10,02-03-26-211419
1,0.5219729563614014,547.2195348702371,36711.94542990997,161740381402,5,30,1000.0,10,02-03-26-211419
2,0.4158343577135833,483.8430690579116,36324.542126385495,159260854143,5,30,1000.0,10,02-03-26-211419
3,0.4117624462200369,546.7576368246228,36780.16435797326,158816511353,5,30,1000.0,10,02-03-26-211419
4,0.6306853103872158,574.717263923958,35371.78797298111,158811529939,5,30,1000.0,10,02-03-26-211419
5,0.6762830362630609,489.5161350723356,36407.09078405053,160083832653,5,30,1000.0,10,02-03-26-211419
6,0.7050553165334973,526.702910894528,35826.853782869875,159056353541,5,30,1000.0,10,02-03-26-211419
7,0.7267977873386601,504.2471680790186,36871.18120281957,159421174525,5,30,1000.0,10,02-03-26-211419
8,0.7166564228641672,484.3491991050541,37497.146321926266,160443408924,5,30,1000.0,10,02-03-26-211419
9,0.7144283958205285,485.1616320665926,36862.36543604173,159877348177,5,30,1000.0,10,02-03-26-211419
10,0.7091272280270436,513.3728999644518,36604.1391431354,158413938304,5,30,1000.0,10,02-03-26-211419
11,0.5335740626920713,496.8017591163516,36893.95379507914,159072246077,5,30,1000.0,10,02-03-26-211419
12,0.6063690842040566,510.7847801409662,36399.6276834514,158297413312,5,30,1000.0,10,02-03-26-211419
13,0.7120467117393977,534.3758398666978,36770.80463105813,159872899394,5,30,1000.0,10,02-03-26-211419
14,0.7482713583282115,454.8745448701084,36621.90513010137,157658389946,5,30,1000.0,10,02-03-26-211419
15,0.7488475722188076,500.0551149714738,36435.04484905861,160505313455,5,30,1000.0,10,02-03-26-211419
16,0.7585663798401967,488.7973230797797,36823.50240601227,158902678695,5,30,1000.0,10,02-03-26-211419
17,0.7662492317148125,523.5015470534563,39119.03466586955,161715919940,5,30,1000.0,10,02-03-26-211419
18,0.760640749846343,485.8011151663959,38487.08508978598,159909708696,5,30,1000.0,10,02-03-26-211419
19,0.758720036877689,514.8025460075587,35985.69525289349,161654486210,5,30,1000.0,10,02-03-26-211419
20,0.7468884449907806,496.1101210210472,37008.36910447106,158078121946,5,30,1000.0,10,02-03-26-211419
21,0.7320221266133989,514.5638980902731,36825.66481688991,159386020146,5,30,1000.0,10,02-03-26-211419
