,namespace,pod_name,container_name,joules
0,client5,client5-7d5ff7f8b4-d5gfn,linkerd-init,0.0
1,client8,client8-5845965f99-v8ptj,linkerd-init,0.0
2,client13,client13-7bf86f4f87-kggdx,linkerd-init,0.0
3,client13,client13-7bf86f4f87-kggdx,linkerd-proxy,16230.82274645669
4,client13,client13-7bf86f4f87-kggdx,client13,16340.54796141732
5,client13,client13-7bf86f4f87-kggdx,sidecar,14359.236356692913
6,server,server-656f98b57f-9xx5r,linkerd-proxy,11870.200906299211
7,server,server-656f98b57f-9xx5r,linkerd-init,0.0
8,client4,client4-744474fb99-w2n9z,client4,17661.644270078737
9,client4,client4-744474fb99-w2n9z,linkerd-proxy,17654.923559055114
10,client4,client4-744474fb99-w2n9z,linkerd-init,0.0
11,client4,client4-744474fb99-w2n9z,sidecar,17618.309149606295
12,client16,client16-6dc7f87f54-mxhpm,client16,18099.55260708661
13,client16,client16-6dc7f87f54-mxhpm,linkerd-proxy,18093.20409212598
14,client16,client16-6dc7f87f54-mxhpm,sidecar,17560.564292125982
15,client16,client16-6dc7f87f54-mxhpm,linkerd-init,0.0
16,client3,client3-58c68898cd-n22tf,sidecar,18538.383869291338
17,client3,client3-58c68898cd-n22tf,linkerd-init,0.0
18,client3,client3-58c68898cd-n22tf,client3,18578.345017322834
19,client3,client3-58c68898cd-n22tf,linkerd-proxy,18573.94523622047
20,client9,client9-d68fb99b4-ddf89,linkerd-init,0.0
21,client9,client9-d68fb99b4-ddf89,linkerd-proxy,16142.164433858266
22,client11,client11-565c48c7c7-pzgd4,sidecar,15877.091239370076
23,client11,client11-565c48c7c7-pzgd4,linkerd-proxy,17988.299270078736
24,client11,client11-565c48c7c7-pzgd4,linkerd-init,0.0
25,client11,client11-565c48c7c7-pzgd4,client11,17993.198338582675
26,client1,client1-7b9db886dd-9wnjk,sidecar,14519.174754330708
27,client1,client1-7b9db886dd-9wnjk,linkerd-init,0.0
28,client1,client1-7b9db886dd-9wnjk,linkerd-proxy,16202.826340157479
29,client1,client1-7b9db886dd-9wnjk,client1,16230.163081889763
30,client20,client20-65f8864f77-747m7,sidecar,18059.89103149606
31,client20,client20-65f8864f77-747m7,client20,18900.052533070866
32,client20,client20-65f8864f77-747m7,linkerd-init,0.0
33,client20,client20-65f8864f77-747m7,linkerd-proxy,18893.885577165354
34,client12,client12-79bc8d5846-zph76,sidecar,17931.313934645666
35,client12,client12-79bc8d5846-zph76,linkerd-proxy,17967.02357480315
36,client12,client12-79bc8d5846-zph76,linkerd-init,0.0
37,client12,client12-79bc8d5846-zph76,client12,17974.827588188975
38,client10,client10-694b6b97b4-rtvl6,linkerd-proxy,18079.308772440945
39,client10,client10-694b6b97b4-rtvl6,sidecar,15829.19898661417
40,client10,client10-694b6b97b4-rtvl6,client10,18084.616348818898
41,client10,client10-694b6b97b4-rtvl6,linkerd-init,0.0
42,client15,client15-79c969ddf-pq427,sidecar,18477.634209448814
43,client15,client15-79c969ddf-pq427,linkerd-proxy,18509.661226771652
44,client15,client15-79c969ddf-pq427,client15,18516.37891181102
45,client15,client15-79c969ddf-pq427,linkerd-init,0.0
46,client6,client6-785d875985-jnc69,linkerd-init,0.0
47,client6,client6-785d875985-jnc69,client6,18100.814442519684
48,client6,client6-785d875985-jnc69,linkerd-proxy,18094.638408661416
49,client6,client6-785d875985-jnc69,sidecar,16744.571326771653
50,client17,client17-69b85b5ccf-chh5k,linkerd-init,0.0
51,client17,client17-69b85b5ccf-chh5k,linkerd-proxy,17411.165397637793
52,client17,client17-69b85b5ccf-chh5k,sidecar,15331.39129133858
53,client17,client17-69b85b5ccf-chh5k,client17,17485.56224645669
54,client19,client19-56fccdb4d9-rwvg8,linkerd-init,0.0
55,client19,client19-56fccdb4d9-rwvg8,sidecar,17393.000414173228
56,client19,client19-56fccdb4d9-rwvg8,client19,17431.97206535433
57,client19,client19-56fccdb4d9-rwvg8,linkerd-proxy,17424.189233858266
58,client14,client14-856b5b5576-q7wzt,linkerd-init,0.0
59,client14,client14-856b5b5576-q7wzt,sidecar,18145.426528346456
60,client14,client14-856b5b5576-q7wzt,client14,18343.126183464567
61,client14,client14-856b5b5576-q7wzt,linkerd-proxy,18337.1135527559
62,client18,client18-69db77c748-f8ckv,sidecar,18073.49283070866
63,client18,client18-69db77c748-f8ckv,client18,18106.448825196847
64,client18,client18-69db77c748-f8ckv,linkerd-init,0.0
65,client18,client18-69db77c748-f8ckv,linkerd-proxy,18102.061148031495
66,client2,client2-86cd6d8cf7-4pr9s,sidecar,17935.17811653543
67,client2,client2-86cd6d8cf7-4pr9s,linkerd-proxy,17971.417303937003
68,client2,client2-86cd6d8cf7-4pr9s,client2,17974.364612598423
69,client2,client2-86cd6d8cf7-4pr9s,linkerd-init,0.0
70,orchestrator,orchestrator-555f7b7c9d-n6qtr,orchestrator,5758.21609453125
71,orchestrator,orchestrator-555f7b7c9d-n6qtr,linkerd-proxy,8658.13188515625
72,orchestrator,policy-enforcer-cb8dccbd8-zdsx2,policy-enforcer,5891.631243749999
73,orchestrator,policy-enforcer-cb8dccbd8-zdsx2,linkerd-init,0.0
74,api-gateway,api-gateway-6bf76d45b7-pjpd9,linkerd-init,0.0
75,orchestrator,policy-enforcer-cb8dccbd8-zdsx2,linkerd-proxy,8661.449475
76,orchestrator,orchestrator-555f7b7c9d-n6qtr,linkerd-init,0.0
77,orchestrator,orchestrator-555f7b7c9d-n6qtr,sidecar,7535.95486875
78,api-gateway,api-gateway-6bf76d45b7-pjpd9,linkerd-proxy,9194.5396265625
79,orchestrator,policy-enforcer-cb8dccbd8-zdsx2,sidecar,7564.9214812499995
80,client7,client7-544486cc98-4bqbc,linkerd-init,0.0
81,client7,client7-544486cc98-4bqbc,linkerd-proxy,18208.693807086616
82,client7,client7-544486cc98-4bqbc,sidecar,18184.85812913386
83,client7,client7-544486cc98-4bqbc,client7,18216.773185039372
84,client5,client5-7d5ff7f8b4-d5gfn,sidecar,14782.580631496061
85,client5,client5-7d5ff7f8b4-d5gfn,client5,16892.190942519683
86,client5,client5-7d5ff7f8b4-d5gfn,linkerd-proxy,16795.274718897635
87,client8,client8-5845965f99-v8ptj,sidecar,15656.70578031496
88,client8,client8-5845965f99-v8ptj,client8,16707.775358267714
89,client8,client8-5845965f99-v8ptj,linkerd-proxy,16701.072803149604
90,server,server-656f98b57f-9xx5r,sidecar,10432.14728031496
91,server,server-656f98b57f-9xx5r,server,12279.217145669289
92,client9,client9-d68fb99b4-ddf89,sidecar,13358.721897637794
93,client9,client9-d68fb99b4-ddf89,client9,16161.391537795276
94,api-gateway,api-gateway-6bf76d45b7-pjpd9,sidecar,7635.7948078125
95,api-gateway,api-gateway-6bf76d45b7-pjpd9,api-gateway,9811.9896328125
96,server,maurits-dijk-e82029bbserver1-p5khf,sidecar,8752.426448031494
97,server,maurits-dijk-e82029bbserver1-p5khf,hfl-train,11768.488497637794
98,server,maurits-dijk-e82029bbserver1-p5khf,hfl-train-model,19886.012007874015
99,client9,maurits-dijk-e82029bbclient91-sckp8,hfl-train-model,16025.58839055118
100,client9,maurits-dijk-e82029bbclient91-sckp8,sidecar,13957.987818897636
101,client9,maurits-dijk-e82029bbclient91-sckp8,hfl-train,16864.872356692915
102,client1,maurits-dijk-e82029bbclient11-xftpb,sidecar,14080.573466929132
103,client1,maurits-dijk-e82029bbclient11-xftpb,hfl-train,16930.04600551181
104,client1,maurits-dijk-e82029bbclient11-xftpb,hfl-train-model,16075.250844094486
105,client17,maurits-dijk-e82029bbclient171-xckg9,hfl-train,18178.615523622044
106,client17,maurits-dijk-e82029bbclient171-xckg9,sidecar,15107.580418110234
107,client17,maurits-dijk-e82029bbclient171-xckg9,hfl-train-model,17342.421087401573
108,client5,maurits-dijk-e82029bbclient51-k845k,sidecar,13354.987833070863
109,client5,maurits-dijk-e82029bbclient51-k845k,hfl-train-model,16720.275699212594
110,client5,maurits-dijk-e82029bbclient51-k845k,hfl-train,17661.06630708661
111,client13,maurits-dijk-e82029bbclient131-d9pjv,hfl-train-model,16144.69415669291
112,client13,maurits-dijk-e82029bbclient131-d9pjv,hfl-train,17318.673162992123
